PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
L6500	6	6	4	5
L5718	3	2	1	0
L3901	12	25	16	12
L2610	10	9	10	5
L2010	1	3	1	0
L0624	6	10	4	5
L6885	2	3	1	1
L6320	4	1	1	2
L8614	1	0	0	0
L6637	8	3	1	4
E0188	1051	1123	825	708
E1356	146	159	114	75
E0430	5	3	1	0
A4627	656	551	468	452
K0830	3	1	0	0
K0051	73	57	51	50
A7008	71	66	54	55
E0575	7	4	2	4
E1405	0	5	1	0
E1017	2	0	0	0
L8680	0	1	0	0
L5724	0	2	1	0
L8619	0	2	0	0
E1231	0	1	0	0
A4590	3	6	0	0
E0464	1	0	0	0
T4526	6	9	0	0
L7900	61	50	42	45
L6632	12	22	14	13
L0466	10	4	6	3
L6621	46	36	27	37
L0700	2	10	3	5
L2526	9	15	7	11
L5560	1	1	1	0
L6684	12	8	6	10
L6805	8	4	3	3
L6690	2	0	0	1
L6600	9	2	6	0
L3977	1	6	1	0
L8220	1	3	2	0
L3904	1	1	1	0
L8043	1	6	2	1
L6712	1	0	0	0
E0560	94	69	51	62
A7015	45331	41834	33493	34833
E0730	18161	18030	11601	9092
A6512	41	20	25	10
E0199	76	61	51	52
E2374	24637	23782	22287	14622
E0930	14	11	8	3
E1035	1091	1025	767	695
E1406	12	13	11	8
E8001	6	8	3	7
E2630	4	5	0	1
E0968	8	3	1	2
E2227	13	2	0	3
E2292	0	2	0	0
E1011	1	0	0	0
L3800	0	1	0	0
E0472	20	18	17	10
E2383	124	157	107	108
L3766	70	88	64	62
L5824	3	4	3	0
L2136	11	16	11	8
L4130	9	6	3	4
L0467	8	9	6	2
L8039	18	30	14	20
L5520	3	6	3	0
L5640	5	11	8	4
L5230	7	4	3	4
L5642	1	2	1	0
L6120	5	1	3	1
L8605	1	0	0	0
L8624	1	0	0	0
A7007	4726	4575	3721	3484
A4608	15	11	8	11
A4614	247	205	163	150
E0572	39	32	31	20
E0480	159	171	137	115
K0841	112	106	87	86
E0994	49	72	44	23
K0863	1	4	1	2
K0050	2	0	1	0
E2217	33	26	16	28
E1224	1	0	0	0
L2580	0	1	0	0
L6640	0	1	0	0
E0655	86	50	36	36
T4537	2	0	0	0
T4536	2	0	0	0
E2384	372	367	280	299
B4083	10	10	8	8
T4543	2	0	0	0
L2425	494	504	430	346
L2670	1	0	0	0
L0113	47	45	41	32
L3677	50	28	21	24
L1600	23	18	10	13
L0492	11	5	7	5
L0970	7	10	4	9
L3900	180	162	150	116
L2040	8	9	4	4
L5600	2	2	1	0
L6638	2	6	0	3
L6960	4	1	0	0
L6930	2	1	1	0
L6945	2	2	0	1
E8000	14	8	3	10
E0974	2429	2331	1991	1431
E0948	3	2	0	0
K0853	2	5	1	4
E1260	1	4	0	3
L1630	0	1	0	0
A4490	11	18	10	5
A4510	182	317	197	117
L3510	123	135	113	82
Q4038	4	2	0	0
T4541	15	15	0	0
K0052	2704	2399	1967	1758
B9000	72	87	64	41
E0130	123	118	93	73
K0802	30	31	14	15
K0828	22	14	14	10
L3730	52	46	35	40
L5810	74	73	61	48
L1040	8	7	4	1
L1060	5	7	3	3
L1260	10	9	7	7
L1280	10	2	2	5
L2628	3	3	1	3
L3251	10	11	7	7
L0632	10	3	3	5
L3211	5	6	4	2
L3891	10	24	9	9
L2090	0	2	0	1
L0634	10	10	3	3
L2335	37	75	64	19
L6646	5	2	1	2
L7405	10	8	4	7
L6905	2	2	1	1
L5460	12	13	4	10
L6310	0	1	0	0
L0861	3	1	1	1
L3845	1	0	0	0
E0485	7	5	2	6
K0008	1	3	1	0
A7006	327	187	174	181
E2207	56	44	36	40
K0073	11	9	13	3
A7009	31	13	4	7
E2631	10	2	5	3
E0946	9	7	3	1
L8047	0	7	1	3
L1025	0	1	0	0
