CLIA	NPI	NPI_CLM_CNT	CLIA_CLM_CNT	TOTAL_CLM_CNT	NPI_FAC_NAME	NPI_ADDR_1	NPI_ADDR_2	NPI_CITY	NPI_STATE	NPI_ZIP	CLIA_FAC_NAME	CLIA_ADDR_1	CLIA_ADDR_2	CLIA_CITY	CLIA_STATE	CLIA_ZIP
	1003078403	951		951	REPROSOURCE FERTILITY DIAGNOSTICS, INC	300 TRADE CENTER	SUITE 6540	WOBURN	MA	01801	NA	NA	NA	NA	NA	NA
	1003092545	13		13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003098906	50		50	LIFEHOUSE SAN DIEGO OPERATIONS, LLC	2828 MEADOW LARK DR		SAN DIEGO	CA	921232710	NA	NA	NA	NA	NA	NA
	1427251743	1		1	NORTH ALABAMA EMERGENCY PHYSICIANS LLC	1300 S MONTGOMERY AVE		SHEFFIELD	AL	356606334	NA	NA	NA	NA	NA	NA
	1003111592	88		88	CLASSIC DRIVE HEALTHCARE AND REHAB	9922 STATE HWY. 151		SAN ANTONIO	TX	782514554	NA	NA	NA	NA	NA	NA
	1003126665	2		2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003127606	1		1	MEMORIAL HERMANN ENDOSCOPY CENTER NORTH FREEWAY LLC	1900 NORTH LOOP W	STE 550	HOUSTON	TX	770188100	NA	NA	NA	NA	NA	NA
	1003129826	6		6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003143124	4		4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003155896	6,475		6,475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003156134	23		23	QUEST DIAGNOSTICS CLINICAL LABORATORIES INC	1315 ST JOSEPH PKWY		HOUSTON	TX	770028233	NA	NA	NA	NA	NA	NA
	1003156688	12		12	H & H TESTING, LLC	10801 NATIONAL BLVD	SUITE 579	LOS ANGELES	CA	900644139	NA	NA	NA	NA	NA	NA
	1427324383	5		5	HUNTINGTON REPRODUCTIVE CENTER	1220 LA VENTA DR	SUITE 103	WESTLAKE VILLAGE	CA	913613703	NA	NA	NA	NA	NA	NA
	1427336338	288		288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1851370910	17,231		17,231	TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA	3400 SPRUCE ST		PHILADELPHIA	PA	191044206	NA	NA	NA	NA	NA	NA
	1003184367	10		10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003227646	85		85	S&S LABS LLC	14812 VENTURE DR	SUITE C	FARMERS BRANCH	TX	752342426	NA	NA	NA	NA	NA	NA
	1003229089	365		365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1427381375	590		590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1427384924	504		504	RED RIVER SURGERY CENTER LLC	708 N ASHLEY RIDGE LOOP BLDG 400		SHREVEPORT	LA	711067234	NA	NA	NA	NA	NA	NA
	1003257650	1,689		1,689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003290644	43		43	LABORATORY CORPORATION OF AMERICA HOLDINGS	4803 KENTUCKY ST		SOUTH CHARLESTON	WV	253091309	NA	NA	NA	NA	NA	NA
	1003800343	10		10	GEORGIA-ATKISON SNF, LLC	3825 DURFEE AVE		EL MONTE	CA	917322505	NA	NA	NA	NA	NA	NA
	1003804212	27		27	ARIZONA & 21ST CORP	2021 ARIZONA AVE		SANTA MONICA	CA	904041335	NA	NA	NA	NA	NA	NA
	1003808155	5		5	BRIAN CLINIC, L.L.P.	425 SCOTT ST		ALEXANDRIA	LA	713018131	NA	NA	NA	NA	NA	NA
	1003809203	2		2	IHS ACQUISITION NO 127 INC	8200 NATIONAL AVE		MIDWEST CITY	OK	731108518	NA	NA	NA	NA	NA	NA
	1427452176	19		19	DETTMANN CENTER	3501 LAKE EASTBROOK BLVD SE STE 144		GRAND RAPIDS	MI	495465939	NA	NA	NA	NA	NA	NA
	1003810409	36		36	HARRIS HISTOLOGY SERVICES	630 S B ST		TUSTIN	CA	927804318	NA	NA	NA	NA	NA	NA
	1427457373	4		4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003818444	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003819020	512		512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003822560	43		43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1427490937	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003833583	10		10	ORANGEBURG PRIMARY PREVENTIVE & OCCUPATIONAL MEDICINE	1620 BROUGHTON STREET		ORANGEBURG	SC	29115	NA	NA	NA	NA	NA	NA
	1003839333	319		319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437103777	18		18	GOOD SAMARITAN HOSPITAL, L.P.	2425 SAMARITAN DR		SAN JOSE	CA	951243908	NA	NA	NA	NA	NA	NA
	1003844978	152		152	THE GREENVILLE CLINIC	1502 S COLORADO ST		GREENVILLE	MS	387037219	NA	NA	NA	NA	NA	NA
	1003848847	51		51	EYE ASSOCIATES OF NORTH JERSEY PA	600 MOUNT PLEASANT AVENUE		DOVER	NJ	078011629	NA	NA	NA	NA	NA	NA
	1003852666	13		13	ELM HOLDINGS, LLC	3780 MASSACHUSETTS AVE		LA MESA	CA	919417638	NA	NA	NA	NA	NA	NA
	1003853979	9		9	MANOR CARE OF CITRUS HEIGHTS CA LLC	7807 UPLANDS WAY		CITRUS HEIGHTS	CA	956107500	NA	NA	NA	NA	NA	NA
	1003856949	2,338		2,338	UNIVERSITY MEDICAL SERVICE ASSOCIATION INC	13330 USF LAUREL DR	MDC 11	TAMPA	FL	336126601	NA	NA	NA	NA	NA	NA
	1851496152	18		18	SSM HEALTH CARE ST. LOUIS	1015 BOWLES AVE		FENTON	MO	630262394	NA	NA	NA	NA	NA	NA
	1003860388	38		38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003861089	33		33	WILLOW CREEK HEALTHCARE CENTER, LLC	650 W ALLUVIAL AVE		CLOVIS	CA	936116716	NA	NA	NA	NA	NA	NA
	1003861238	36		36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003863580	384		384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003864810	2,921		2,921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003867565	21		21	BARTON HEALTHCARE SYSTEM	2170 SOUTH AVENUE		SOUTH LAKE TAHOE	CA	96150	NA	NA	NA	NA	NA	NA
	1003873274	28		28	JANLIAN MEDICAL GROUP,LLC	1508 AVENUE U		BROOKLYN	NY	112293808	NA	NA	NA	NA	NA	NA
	1003873811	9		9	CLAREMORE REGIONAL HOSPITAL LLC	1202 N MUSKOGEE PL		CLAREMORE	OK	740173058	NA	NA	NA	NA	NA	NA
	1437157567	3		3	CALIFORNIA CONVALESCENT HOSPITAL OF PASADENA INC	120 BELLEFONTAINE ST		PASADENA	CA	911053102	NA	NA	NA	NA	NA	NA
	1003881210	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437176203	5		5	CRITTENTON HOSPITAL MEDICAL CENTER	1101 W UNIVERSITY DR		ROCHESTER	MI	483071863	NA	NA	NA	NA	NA	NA
	1003887118	9		9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003895152	11		11	HOUMA SURGI-CENTER, INC & UROLOGY CLINIC	1020 SCHOOL ST		HOUMA	LA	703604630	NA	NA	NA	NA	NA	NA
	1003897158	2		2	RESTHAVEN NURSING & REHABILITATION CENTER, LLC	1103 W MCNEESE ST		LAKE CHARLES	LA	706055431	NA	NA	NA	NA	NA	NA
	1437188786	4		4	REID HOSPITAL & HEALTH CARE SERVICES, INC	1100 REID PARKWAY		RICHMOND	IN	473741157	NA	NA	NA	NA	NA	NA
	1003899055	19		19	MEMORIAL ENDOSCOPY CENTER, LP	1233 CAMPBELL RD		HOUSTON	TX	770556453	NA	NA	NA	NA	NA	NA
	1003903170	70		70	PINNACLE HEALTH FACILITIES XV LP	7146 BAKER BLVD		RICHLAND HILLS	TX	761185801	NA	NA	NA	NA	NA	NA
	1003904673	36		36	CERF DIAGNOSTIC LABORATORY, INC	4955 VAN NUYS BLVD	SUITE #200	SHERMAN OAKS	CA	914031801	NA	NA	NA	NA	NA	NA
	1003910688	376		376	NOL, LLC	1210 BRIARVILLE RD	SUITE 602-F	MADISON	TN	371155141	NA	NA	NA	NA	NA	NA
	1003920349	2		2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003946153	101		101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437246378	230		230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437249513	80		80	ISLAND FAMILY MEDICAL PRACTICE, PC	848 HICKSVILLE RD		N MASSAPEQUA	NY	117581210	NA	NA	NA	NA	NA	NA
	1003955832	16		16	ARIZONA FAMILY PHYSICIANS	2127 E BASELINE RD	104	TEMPE	AZ	852831537	NA	NA	NA	NA	NA	NA
	1437252806	4,512		4,512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003981549	10		10	CITIZENS MEMORIAL HOSPITAL DISTRICT	1500 N OAKLAND AVE		BOLIVAR	MO	656133011	NA	NA	NA	NA	NA	NA
	1003987546	3		3	TRU-CARE, INC.	20524 WISTERIA ST		CASTRO VALLEY	CA	945465523	NA	NA	NA	NA	NA	NA
	1437260056	654		654	RELIABLE HEALTH & REHAB AT LAKEWOOD, LLC	3301 LAKEWOOD AVE SW		ATLANTA	GA	303105047	NA	NA	NA	NA	NA	NA
	1003998253	3		3	RONALD C KNIPE MD PA	70 W GORE ST	SUITE 200A	ORLANDO	FL	328061124	NA	NA	NA	NA	NA	NA
	1013004944	1		1	CHANDLER DERMATOLOGY LTD	312 N ALMA SCHOOL RD	SUITE 5	CHANDLER	AZ	852244354	NA	NA	NA	NA	NA	NA
	1013012145	211		211	GASTROENTEROLOGY CONSULTANTS OF SAVANNAH, PC	519 STEPHENSON AVE		SAVANNAH	GA	314055969	NA	NA	NA	NA	NA	NA
	1013016906	2		2	MIDLAND COMMUNITY HEALTHCARE SERVICES	400 ROSALIND REDFERN GROVER PKWY	3RD FLOOR	MIDLAND	TX	797015846	NA	NA	NA	NA	NA	NA
	1013040898	5		5	MIDWEST NEPHROLOGY ASSOCIATES PC	1201 S DOUGLAS BLVD STE K		MIDWEST CITY	OK	731305263	NA	NA	NA	NA	NA	NA
	1013041391	4		4	UNIVERSITY OF LOUISVILLE	529 S JACKSON ST	# 127	LOUISVILLE	KY	402023229	NA	NA	NA	NA	NA	NA
	1013045475	4		4	SABU ENTERPRISES, INC.	5044 BUFFINGTON RD		EL MONTE	CA	917321466	NA	NA	NA	NA	NA	NA
	1437299963	51,515		51,515	HARDIN MEMORIAL HOSPITAL	913 N DIXIE AVE		ELIZABETHTOWN	KY	427012503	NA	NA	NA	NA	NA	NA
	1013048552	103		103	CENTRAL LOUISIANA WOMENS CLINIC LLP	501 MEDICAL CENTER DR	SUITE 4-A	ALEXANDRIA	LA	713018124	NA	NA	NA	NA	NA	NA
	1013051119	6,458		6,458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437322377	1		1	PRIME HEALTHCARE SERVICES ENCINO LLC	16237 VENTURA BLVD		ENCINO	CA	914362201	NA	NA	NA	NA	NA	NA
	1013062769	1		1	KAISER FOUNDATION HOSPITALS	4647 ZION AVE		SAN DIEGO	CA	921202507	NA	NA	NA	NA	NA	NA
	1013066513	2		2	CHENAL FAMILY PRACTICE	11215 HERMITAGE RD	STE 103	LITTLE ROCK	AR	722113863	NA	NA	NA	NA	NA	NA
	1013072941	3		3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437338787	6		6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013086727	8,067		8,067	REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT	761 MAIN AVE	SUITE 200	NORWALK	CT	068511080	NA	NA	NA	NA	NA	NA
	1013090109	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437371820	6		6	DERMATOLOGY AND AESTHETIC INSTITUTE	7330 PERKINS ROAD		BATON ROUGE	LA	708084325	NA	NA	NA	NA	NA	NA
	1437382074	2		2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437388238	35		35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013167444	2		2	JACKSON FAMILY MEDICAL PLLC	724 W FRANKLIN ST		JACKSON	MI	492012008	NA	NA	NA	NA	NA	NA
	1013178144	545		545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013181866	27		27	NORTH CADDO HOSPITAL SERVICE DISTRICT	1003 S SPRUCE ST		VIVIAN	LA	710823200	NA	NA	NA	NA	NA	NA
	1437424322	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437452778	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437457645	15		15	DAISY HOLDINGS, LLC	1139 CIRBY WAY		ROSEVILLE	CA	956614421	NA	NA	NA	NA	NA	NA
	1013188770	35		35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013189612	3		3	OLUREMI T ILUPEJU MD PA	10408 NEW HAMPSHIRE AVE		SILVER SPRING	MD	209031119	NA	NA	NA	NA	NA	NA
	1013205558	1,948		1,948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013210004	10		10	CAROLINA UROLOGY PARTNERS PLLC	9735 KINCEY AVE	STE 201	HUNTERSVILLE	NC	280789120	NA	NA	NA	NA	NA	NA
	1013212653	492		492	HS LABS, LLC	7989 JACK JAMES DR.		STUART	FL	34997	NA	NA	NA	NA	NA	NA
	1013220722	15		15	VAN DYKE YUN MEDICAL GROUP PACIFIC DERMATOPATHOLOGY & JASMINE YUN MD A	11500 W OLYMPIC BLVD	SUITE 352	LOS ANGELES	CA	900641524	NA	NA	NA	NA	NA	NA
	1013244417	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1861533481	3		3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437572286	6		6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1437574191	47		47	OIL CENTER SURGICAL PLAZA	1000 W PINHOOK RD		LAFAYETTE	LA	705032460	NA	NA	NA	NA	NA	NA
	1013261072	2		2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013265446	375		375	REMARKABLE HEALTHCARE OF DALLAS, LP	3350 BONNIE VIEW ROAD		DALLAS	TX	75216	NA	NA	NA	NA	NA	NA
	1013281161	404		404	UPLANDS VILLAGE	878-880 WEST MAIN STREET		PLEASANT HILL	TN	38578	NA	NA	NA	NA	NA	NA
	1447203716	55		55	PEPPER HILL NURSING & REHAB CENTER LLC	3525 AUGUSTUS RD		AIKEN	SC	298012701	NA	NA	NA	NA	NA	NA
	1013283175	288		288	HEALTHTIQUE DURHAM, LLC	411 S LASALLE ST		DURHAM	NC	277053701	NA	NA	NA	NA	NA	NA
	1447207212	1		1	MISSOULA BONE & JOINT, LLC	2360 MULLAN RD	SUITE C	MISSOULA	MT	598081811	NA	NA	NA	NA	NA	NA
	1447207964	468		468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013298108	5,940		5,940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013301159	21		21	PRECISION ANALYSIS LAB, LLC	2740 WINCHESTER AVE		ASHLAND	KY	411011929	NA	NA	NA	NA	NA	NA
	1013356211	1		1	MOLECULERA LABS, INC.	755 RESEARCH PKWY	SUITE 410	OKLAHOMA CITY	OK	731043629	NA	NA	NA	NA	NA	NA
	1447221726	17		17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013901313	38		38	RBB HEALTHCARE INC.	435 E GLADSTONE ST		GLENDORA	CA	917405159	NA	NA	NA	NA	NA	NA
	1013904267	87		87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013904879	2		2	BLYTHE VENTURES, INC	3232 E ARTESIA BLVD		LONG BEACH	CA	908052811	NA	NA	NA	NA	NA	NA
	1861688814	1		1	PRIMECARE MEDICAL CLINIC, PA	2869 WILSHIRE DR	SUITE 205	ORLANDO	FL	328353282	NA	NA	NA	NA	NA	NA
	1013906221	198		198	SUTTER EAST BAY HOSPITALS	2450 ASHBY AVE		BERKELEY	CA	947052067	NA	NA	NA	NA	NA	NA
	1013906650	2		2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013908441	3		3	ROWLAND FLATT CLINIC	603 NE 2ND ST		ANTLERS	OK	745232636	NA	NA	NA	NA	NA	NA
	1720085731	159		159	SHINER NURSING & REHABILITATION CENTER, INC.	1213 N AVENUE B		SHINER	TX	779846217	NA	NA	NA	NA	NA	NA
	1013914936	7		7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013915537	2		2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1447253729	1		1	CHRISTUS HEALTH GULF COAST	701 S FRY RD		KATY	TX	774502237	NA	NA	NA	NA	NA	NA
	1013922830	417		417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1447276498	139		139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013930429	9		9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013937804	12		12	PACIFIC COAST CARE CENTER, LLC	720 E ROMIE LN		SALINAS	CA	939014208	NA	NA	NA	NA	NA	NA
	1013950807	46		46	PALO ALTO MEDICAL FOUNDATION FOR HEALTH CARE, RESEARCH & EDUCATION	701 E EL CAMINO REAL		MOUNTAIN VIEW	CA	940402833	NA	NA	NA	NA	NA	NA
	1013952811	29		29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013953199	35		35	KOA HOLDINGS, LLC	1391 E MADISON AVE		EL CAJON	CA	920218568	NA	NA	NA	NA	NA	NA
	1013954510	2		2	PEDIATRIC ASSOCIATES	321C E COLLEGE AVE		STANTON	KY	403802325	NA	NA	NA	NA	NA	NA
	1013959147	264		264	JOHNSON COUNTY LTC LLC	12 SMITH LN		ADRIAN	GA	310024820	NA	NA	NA	NA	NA	NA
	1447293790	1		1	ATLANTIC UROLOGY CLINICS LLC	402 SINGLETON RIDGE RD	STE B	CONWAY	SC	295269153	NA	NA	NA	NA	NA	NA
	1013963693	3		3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013965573	1		1	UNION HOSPITAL, INC.	1606 N 7TH ST		TERRE HAUTE	IN	478042706	NA	NA	NA	NA	NA	NA
	1013966282	1		1	SOUTHEASTERN MASSACHUSETTS REGIONAL MRI, LIMITED PARTNERSHIP	265 WESTGATE DR		BROCKTON	MA	023011817	NA	NA	NA	NA	NA	NA
	1013967132	11		11	12080 BELLAIRE WAY OPERATIONS LLC	12080 BELLAIRE WAY		THORNTON	CO	802413600	NA	NA	NA	NA	NA	NA
	1013968692	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013981554	12		12	EISENHOWER MEDICAL CENTER	39000 BOB HOPE DR		RANCHO MIRAGE	CA	922703221	NA	NA	NA	NA	NA	NA
	1013984657	157		157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1013989656	4		4	INGLEWOOD OPERATING COMPANY LP	100 S HILLCREST BLVD		INGLEWOOD	CA	903011313	NA	NA	NA	NA	NA	NA
	1013997329	2		2	SAINT VINCENT PHYSICIAN SERVICES INC	123 SUMMER ST		WORCESTER	MA	016081216	NA	NA	NA	NA	NA	NA
	1447334719	53		53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023002995	433		433	WARREN COUNTY HEALTH CARE LLC	813 ATLANTA HWY		WARRENTON	GA	308289105	NA	NA	NA	NA	NA	NA
	1023005683	12		12	NEW VISTA HEALTH SERVICES, INC.	1516 SAWTELLE BLVD		LOS ANGELES	CA	900253207	NA	NA	NA	NA	NA	NA
	1023005758	541		541	DERMATOLOGY AND SKIN SURGERY APMC	9007 ELLERBE RD		SHREVEPORT	LA	711066724	NA	NA	NA	NA	NA	NA
	1023007515	101		101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023013448	29		29	UNITED REGIONAL HEALTH CARE SYSTEM INC	1600 11TH ST		WICHITA FALLS	TX	763014388	NA	NA	NA	NA	NA	NA
	1023014206	33		33	NORTON HOSPITALS, INC	200 E CHESTNUT ST		LOUISVILLE	KY	402021831	NA	NA	NA	NA	NA	NA
	1023023819	5,412		5,412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1447373659	4		4	DAVID M. GUTSTEIN, M.D.,P.A.	15621 NEW HAMPSHIRE CT		FORT MYERS	FL	339084123	NA	NA	NA	NA	NA	NA
	1447378625	5		5	MEMORIAL HOSPITAL AT GULFPORT	4500 13TH ST		GULFPORT	MS	395012515	NA	NA	NA	NA	NA	NA
	1023037272	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023041159	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023044518	367		367	BULLOCH COUNTY LTC LLC	405 S COLLEGE ST		STATESBORO	GA	304585409	NA	NA	NA	NA	NA	NA
	1023048295	16		16	JEFFREY PINE HOLDINGS, LLC	622 S ANZA ST		EL CAJON	CA	920206602	NA	NA	NA	NA	NA	NA
	1871579698	751		751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023055126	1,139		1,139	HCA HEALTH SERVICES OF TENNESSEE, INC.	2300 PATTERSON ST		NASHVILLE	TN	372031538	NA	NA	NA	NA	NA	NA
	1023060571	8		8	GGNSC SHAFTER LP	140 E TULARE AVE		SHAFTER	CA	932631834	NA	NA	NA	NA	NA	NA
	1023061405	3,891		3,891	AFFINITY HOSPITAL LLC	3690 GRANDVIEW PKWY		BIRMINGHAM	AL	352433326	NA	NA	NA	NA	NA	NA
	1023061496	4		4	CRESTWOOD HEALTHCARE LP	1 HOSPITAL DR SW		HUNTSVILLE	AL	358016455	NA	NA	NA	NA	NA	NA
	1023062098	2		2	HCA HEALTHONE LLC	4567 E 9TH AVE		DENVER	CO	802203908	NA	NA	NA	NA	NA	NA
	1447508494	2		2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1447520119	1		1	KAISER FOUNDATION HEALTH PLAN OF CO	2950 E HARMONY RD		FORT COLLINS	CO	805283419	NA	NA	NA	NA	NA	NA
	1447534581	44		44	BRAZORIA COUNTY IMAGING CENTER ON BRAZOS, INC.	2760 BRAZOS PKWY	STE B	ANGLETON	TX	775157048	NA	NA	NA	NA	NA	NA
	1023066412	3		3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023080439	4		4	EDGEFIELD COUNTY HOSPITAL	300 RIDGE MEDICAL PLAZA		EDGEFIELD	SC	298240590	NA	NA	NA	NA	NA	NA
	1023080660	2		2	GRANCARE LLC	3032 ROWENA AVE		LOS ANGELES	CA	900392005	NA	NA	NA	NA	NA	NA
	1447586961	20		20	LONE STAR CIRCLE OF CARE	3950 N A W GRIMES BLVD	BLDG #2	ROUND ROCK	TX	786653540	NA	NA	NA	NA	NA	NA
	1871613737	1		1	SSC WINDSOR OPERATING COMPANY LLC	710 3RD ST		WINDSOR	CO	805505484	NA	NA	NA	NA	NA	NA
	1447594809	1		1	LONESTAR HISTOLOGY, PLLC	3418 MIDCOURT RD	STE 101	CARROLLTON	TX	750064944	NA	NA	NA	NA	NA	NA
	1023086634	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023088168	106		106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023089984	188		188	JACKSON TENNESSEE HOSPITAL COMPANY LLC	367 HOSPITAL BLVD		JACKSON	TN	383052080	NA	NA	NA	NA	NA	NA
	1023091097	15		15	THE WOODLANDS HEALTHCARE CENTER, LP	4650 S PANTHER CREEK DR		THE WOODLANDS	TX	773812764	NA	NA	NA	NA	NA	NA
	1023093234	13		13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023095288	2		2	ESOTERIX, INC	6255 FERRIS SQ	SUITE D	SAN DIEGO	CA	921213232	NA	NA	NA	NA	NA	NA
	1023099108	57		57	HANCOCK PARK REHABILITATION CENTER, LLC	505 N LA BREA AVE		LOS ANGELES	CA	900362015	NA	NA	NA	NA	NA	NA
	1023103710	7,825		7,825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023104007	11		11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1023104551	68		68	OUR LADY OF LOURDES REGIONAL MEDICAL CENTER	611 SAINT LANDRY ST		LAFAYETTE	LA	705064627	NA	NA	NA	NA	NA	NA
	1023146099	6		6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
