CLIA	NPI	NPI_CLM_CNT	CLIA_CLM_CNT	TOTAL_CLM_CNT	NPI_FAC_NAME	NPI_CITY	NPI_STATE	CLIA_FAC_NAME	CLIA_CITY	CLIA_STATE
	1003143124	4		4	NA	NA	NA	NA	NA	NA
	1003155896	6,475		6,475	NA	NA	NA	NA	NA	NA
	1003156134	23		23	QUEST DIAGNOSTICS CLINICAL LABORATORIES INC	HOUSTON	TX	NA	NA	NA
	1003156688	12		12	H & H TESTING, LLC	LOS ANGELES	CA	NA	NA	NA
	1427324383	5		5	HUNTINGTON REPRODUCTIVE CENTER	WESTLAKE VILLAGE	CA	NA	NA	NA
	1427336338	288		288	NA	NA	NA	NA	NA	NA
	1851370910	17,231		17,231	TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA	PHILADELPHIA	PA	NA	NA	NA
	1003184367	10		10	NA	NA	NA	NA	NA	NA
	1003227646	85		85	S&S LABS LLC	FARMERS BRANCH	TX	NA	NA	NA
	1003229089	365		365	NA	NA	NA	NA	NA	NA
	1427381375	590		590	NA	NA	NA	NA	NA	NA
	1427384924	504		504	RED RIVER SURGERY CENTER LLC	SHREVEPORT	LA	NA	NA	NA
	1003257650	1,689		1,689	NA	NA	NA	NA	NA	NA
	1003290644	43		43	LABORATORY CORPORATION OF AMERICA HOLDINGS	SOUTH CHARLESTON	WV	NA	NA	NA
	1003800343	10		10	GEORGIA-ATKISON SNF, LLC	EL MONTE	CA	NA	NA	NA
	1003804212	27		27	ARIZONA & 21ST CORP	SANTA MONICA	CA	NA	NA	NA
	1003808155	5		5	BRIAN CLINIC, L.L.P.	ALEXANDRIA	LA	NA	NA	NA
	1003809203	2		2	IHS ACQUISITION NO 127 INC	MIDWEST CITY	OK	NA	NA	NA
	1427452176	19		19	DETTMANN CENTER	GRAND RAPIDS	MI	NA	NA	NA
	1003810409	36		36	HARRIS HISTOLOGY SERVICES	TUSTIN	CA	NA	NA	NA
	1427457373	4		4	NA	NA	NA	NA	NA	NA
	1003818444	1		1	NA	NA	NA	NA	NA	NA
	1003819020	512		512	NA	NA	NA	NA	NA	NA
	1003822560	43		43	NA	NA	NA	NA	NA	NA
	1427490937	1		1	NA	NA	NA	NA	NA	NA
	1003833583	10		10	ORANGEBURG PRIMARY PREVENTIVE & OCCUPATIONAL MEDICINE	ORANGEBURG	SC	NA	NA	NA
	1003839333	319		319	NA	NA	NA	NA	NA	NA
	1437103777	18		18	GOOD SAMARITAN HOSPITAL, L.P.	SAN JOSE	CA	NA	NA	NA
	1003844978	152		152	THE GREENVILLE CLINIC	GREENVILLE	MS	NA	NA	NA
	1003848847	51		51	EYE ASSOCIATES OF NORTH JERSEY PA	DOVER	NJ	NA	NA	NA
	1003852666	13		13	ELM HOLDINGS, LLC	LA MESA	CA	NA	NA	NA
	1003853979	9		9	MANOR CARE OF CITRUS HEIGHTS CA LLC	CITRUS HEIGHTS	CA	NA	NA	NA
	1003856949	2,338		2,338	UNIVERSITY MEDICAL SERVICE ASSOCIATION INC	TAMPA	FL	NA	NA	NA
	1851496152	18		18	SSM HEALTH CARE ST. LOUIS	FENTON	MO	NA	NA	NA
	1003860388	38		38	NA	NA	NA	NA	NA	NA
	1003861089	33		33	WILLOW CREEK HEALTHCARE CENTER, LLC	CLOVIS	CA	NA	NA	NA
	1003861238	36		36	NA	NA	NA	NA	NA	NA
	1003863580	384		384	NA	NA	NA	NA	NA	NA
	1003864810	2,921		2,921	NA	NA	NA	NA	NA	NA
	1003867565	21		21	BARTON HEALTHCARE SYSTEM	SOUTH LAKE TAHOE	CA	NA	NA	NA
	1003873274	28		28	JANLIAN MEDICAL GROUP,LLC	BROOKLYN	NY	NA	NA	NA
	1003873811	9		9	CLAREMORE REGIONAL HOSPITAL LLC	CLAREMORE	OK	NA	NA	NA
	1437157567	3		3	CALIFORNIA CONVALESCENT HOSPITAL OF PASADENA INC	PASADENA	CA	NA	NA	NA
	1003881210	1		1	NA	NA	NA	NA	NA	NA
	1437176203	5		5	CRITTENTON HOSPITAL MEDICAL CENTER	ROCHESTER	MI	NA	NA	NA
	1003887118	9		9	NA	NA	NA	NA	NA	NA
	1003895152	11		11	HOUMA SURGI-CENTER, INC & UROLOGY CLINIC	HOUMA	LA	NA	NA	NA
	1003897158	2		2	RESTHAVEN NURSING & REHABILITATION CENTER, LLC	LAKE CHARLES	LA	NA	NA	NA
	1437188786	4		4	REID HOSPITAL & HEALTH CARE SERVICES, INC	RICHMOND	IN	NA	NA	NA
	1003899055	19		19	MEMORIAL ENDOSCOPY CENTER, LP	HOUSTON	TX	NA	NA	NA
	1003903170	70		70	PINNACLE HEALTH FACILITIES XV LP	RICHLAND HILLS	TX	NA	NA	NA
	1003904673	36		36	CERF DIAGNOSTIC LABORATORY, INC	SHERMAN OAKS	CA	NA	NA	NA
	1003910688	376		376	NOL, LLC	MADISON	TN	NA	NA	NA
	1003920349	2		2	NA	NA	NA	NA	NA	NA
	1003946153	101		101	NA	NA	NA	NA	NA	NA
	1437246378	230		230	NA	NA	NA	NA	NA	NA
	1437249513	80		80	ISLAND FAMILY MEDICAL PRACTICE, PC	N MASSAPEQUA	NY	NA	NA	NA
	1003955832	16		16	ARIZONA FAMILY PHYSICIANS	TEMPE	AZ	NA	NA	NA
	1437252806	4,512		4,512	NA	NA	NA	NA	NA	NA
	1003981549	10		10	CITIZENS MEMORIAL HOSPITAL DISTRICT	BOLIVAR	MO	NA	NA	NA
	1003987546	3		3	TRU-CARE, INC.	CASTRO VALLEY	CA	NA	NA	NA
	1437260056	654		654	RELIABLE HEALTH & REHAB AT LAKEWOOD, LLC	ATLANTA	GA	NA	NA	NA
	1003998253	3		3	RONALD C KNIPE MD PA	ORLANDO	FL	NA	NA	NA
	1013004944	1		1	CHANDLER DERMATOLOGY LTD	CHANDLER	AZ	NA	NA	NA
	1013012145	211		211	GASTROENTEROLOGY CONSULTANTS OF SAVANNAH, PC	SAVANNAH	GA	NA	NA	NA
	1013016906	2		2	MIDLAND COMMUNITY HEALTHCARE SERVICES	MIDLAND	TX	NA	NA	NA
	1013040898	5		5	MIDWEST NEPHROLOGY ASSOCIATES PC	MIDWEST CITY	OK	NA	NA	NA
	1013041391	4		4	UNIVERSITY OF LOUISVILLE	LOUISVILLE	KY	NA	NA	NA
	1013045475	4		4	SABU ENTERPRISES, INC.	EL MONTE	CA	NA	NA	NA
	1437299963	51,515		51,515	HARDIN MEMORIAL HOSPITAL	ELIZABETHTOWN	KY	NA	NA	NA
	1013048552	103		103	CENTRAL LOUISIANA WOMENS CLINIC LLP	ALEXANDRIA	LA	NA	NA	NA
	1013051119	6,458		6,458	NA	NA	NA	NA	NA	NA
	1437322377	1		1	PRIME HEALTHCARE SERVICES ENCINO LLC	ENCINO	CA	NA	NA	NA
	1013062769	1		1	KAISER FOUNDATION HOSPITALS	SAN DIEGO	CA	NA	NA	NA
	1013066513	2		2	CHENAL FAMILY PRACTICE	LITTLE ROCK	AR	NA	NA	NA
	1013072941	3		3	NA	NA	NA	NA	NA	NA
	1437338787	6		6	NA	NA	NA	NA	NA	NA
	1013086727	8,067		8,067	REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT	NORWALK	CT	NA	NA	NA
	1013090109	1		1	NA	NA	NA	NA	NA	NA
	1437371820	6		6	DERMATOLOGY AND AESTHETIC INSTITUTE	BATON ROUGE	LA	NA	NA	NA
	1437382074	2		2	NA	NA	NA	NA	NA	NA
	1437388238	35		35	NA	NA	NA	NA	NA	NA
	1013167444	2		2	JACKSON FAMILY MEDICAL PLLC	JACKSON	MI	NA	NA	NA
	1013178144	545		545	NA	NA	NA	NA	NA	NA
	1013181866	27		27	NORTH CADDO HOSPITAL SERVICE DISTRICT	VIVIAN	LA	NA	NA	NA
	1437424322	1		1	NA	NA	NA	NA	NA	NA
	1437452778	1		1	NA	NA	NA	NA	NA	NA
	1437457645	15		15	DAISY HOLDINGS, LLC	ROSEVILLE	CA	NA	NA	NA
	1013188770	35		35	NA	NA	NA	NA	NA	NA
	1013189612	3		3	OLUREMI T ILUPEJU MD PA	SILVER SPRING	MD	NA	NA	NA
	1013205558	1,948		1,948	NA	NA	NA	NA	NA	NA
	1013210004	10		10	CAROLINA UROLOGY PARTNERS PLLC	HUNTERSVILLE	NC	NA	NA	NA
	1013212653	492		492	HS LABS, LLC	STUART	FL	NA	NA	NA
	1013220722	15		15	VAN DYKE YUN MEDICAL GROUP PACIFIC DERMATOPATHOLOGY & JASMINE YUN MD A	LOS ANGELES	CA	NA	NA	NA
	1013244417	1		1	NA	NA	NA	NA	NA	NA
	1861533481	3		3	NA	NA	NA	NA	NA	NA
	1437572286	6		6	NA	NA	NA	NA	NA	NA
	1437574191	47		47	OIL CENTER SURGICAL PLAZA	LAFAYETTE	LA	NA	NA	NA
	1013261072	2		2	NA	NA	NA	NA	NA	NA
	1013265446	375		375	REMARKABLE HEALTHCARE OF DALLAS, LP	DALLAS	TX	NA	NA	NA
	1013281161	404		404	UPLANDS VILLAGE	PLEASANT HILL	TN	NA	NA	NA
	1447203716	55		55	PEPPER HILL NURSING & REHAB CENTER LLC	AIKEN	SC	NA	NA	NA
	1013283175	288		288	HEALTHTIQUE DURHAM, LLC	DURHAM	NC	NA	NA	NA
	1447207212	1		1	MISSOULA BONE & JOINT, LLC	MISSOULA	MT	NA	NA	NA
	1447207964	468		468	NA	NA	NA	NA	NA	NA
	1013298108	5,940		5,940	NA	NA	NA	NA	NA	NA
	1013301159	21		21	PRECISION ANALYSIS LAB, LLC	ASHLAND	KY	NA	NA	NA
	1013356211	1		1	MOLECULERA LABS, INC.	OKLAHOMA CITY	OK	NA	NA	NA
	1447221726	17		17	NA	NA	NA	NA	NA	NA
	1013901313	38		38	RBB HEALTHCARE INC.	GLENDORA	CA	NA	NA	NA
	1013904267	87		87	NA	NA	NA	NA	NA	NA
	1013904879	2		2	BLYTHE VENTURES, INC	LONG BEACH	CA	NA	NA	NA
	1861688814	1		1	PRIMECARE MEDICAL CLINIC, PA	ORLANDO	FL	NA	NA	NA
	1013906221	198		198	SUTTER EAST BAY HOSPITALS	BERKELEY	CA	NA	NA	NA
	1013906650	2		2	NA	NA	NA	NA	NA	NA
	1013908441	3		3	ROWLAND FLATT CLINIC	ANTLERS	OK	NA	NA	NA
	1720085731	159		159	SHINER NURSING & REHABILITATION CENTER, INC.	SHINER	TX	NA	NA	NA
	1013914936	7		7	NA	NA	NA	NA	NA	NA
	1013915537	2		2	NA	NA	NA	NA	NA	NA
	1447253729	1		1	CHRISTUS HEALTH GULF COAST	KATY	TX	NA	NA	NA
	1013922830	417		417	NA	NA	NA	NA	NA	NA
	1447276498	139		139	NA	NA	NA	NA	NA	NA
	1013930429	9		9	NA	NA	NA	NA	NA	NA
	1013937804	12		12	PACIFIC COAST CARE CENTER, LLC	SALINAS	CA	NA	NA	NA
	1013950807	46		46	PALO ALTO MEDICAL FOUNDATION FOR HEALTH CARE, RESEARCH & EDUCATION	MOUNTAIN VIEW	CA	NA	NA	NA
	1013952811	29		29	NA	NA	NA	NA	NA	NA
	1013953199	35		35	KOA HOLDINGS, LLC	EL CAJON	CA	NA	NA	NA
	1013954510	2		2	PEDIATRIC ASSOCIATES	STANTON	KY	NA	NA	NA
	1013959147	264		264	JOHNSON COUNTY LTC LLC	ADRIAN	GA	NA	NA	NA
	1447293790	1		1	ATLANTIC UROLOGY CLINICS LLC	CONWAY	SC	NA	NA	NA
	1013963693	3		3	NA	NA	NA	NA	NA	NA
	1013965573	1		1	UNION HOSPITAL, INC.	TERRE HAUTE	IN	NA	NA	NA
	1013966282	1		1	SOUTHEASTERN MASSACHUSETTS REGIONAL MRI, LIMITED PARTNERSHIP	BROCKTON	MA	NA	NA	NA
	1013967132	11		11	12080 BELLAIRE WAY OPERATIONS LLC	THORNTON	CO	NA	NA	NA
	1013968692	1		1	NA	NA	NA	NA	NA	NA
	1013981554	12		12	EISENHOWER MEDICAL CENTER	RANCHO MIRAGE	CA	NA	NA	NA
	1013984657	157		157	NA	NA	NA	NA	NA	NA
	1013989656	4		4	INGLEWOOD OPERATING COMPANY LP	INGLEWOOD	CA	NA	NA	NA
	1013997329	2		2	SAINT VINCENT PHYSICIAN SERVICES INC	WORCESTER	MA	NA	NA	NA
	1447334719	53		53	NA	NA	NA	NA	NA	NA
	1023002995	433		433	WARREN COUNTY HEALTH CARE LLC	WARRENTON	GA	NA	NA	NA
	1023005683	12		12	NEW VISTA HEALTH SERVICES, INC.	LOS ANGELES	CA	NA	NA	NA
	1023005758	541		541	DERMATOLOGY AND SKIN SURGERY APMC	SHREVEPORT	LA	NA	NA	NA
	1023007515	101		101	NA	NA	NA	NA	NA	NA
	1023013448	29		29	UNITED REGIONAL HEALTH CARE SYSTEM INC	WICHITA FALLS	TX	NA	NA	NA
	1023014206	33		33	NORTON HOSPITALS, INC	LOUISVILLE	KY	NA	NA	NA
	1023023819	5,412		5,412	NA	NA	NA	NA	NA	NA
	1447373659	4		4	DAVID M. GUTSTEIN, M.D.,P.A.	FORT MYERS	FL	NA	NA	NA
	1447378625	5		5	MEMORIAL HOSPITAL AT GULFPORT	GULFPORT	MS	NA	NA	NA
	1023037272	1		1	NA	NA	NA	NA	NA	NA
	1023041159	1		1	NA	NA	NA	NA	NA	NA
	1023044518	367		367	BULLOCH COUNTY LTC LLC	STATESBORO	GA	NA	NA	NA
	1023048295	16		16	JEFFREY PINE HOLDINGS, LLC	EL CAJON	CA	NA	NA	NA
	1871579698	751		751	NA	NA	NA	NA	NA	NA
	1023055126	1,139		1,139	HCA HEALTH SERVICES OF TENNESSEE, INC.	NASHVILLE	TN	NA	NA	NA
	1023060571	8		8	GGNSC SHAFTER LP	SHAFTER	CA	NA	NA	NA
	1023061405	3,891		3,891	AFFINITY HOSPITAL LLC	BIRMINGHAM	AL	NA	NA	NA
	1023061496	4		4	CRESTWOOD HEALTHCARE LP	HUNTSVILLE	AL	NA	NA	NA
	1023062098	2		2	HCA HEALTHONE LLC	DENVER	CO	NA	NA	NA
	1447508494	2		2	NA	NA	NA	NA	NA	NA
	1447520119	1		1	KAISER FOUNDATION HEALTH PLAN OF CO	FORT COLLINS	CO	NA	NA	NA
	1447534581	44		44	BRAZORIA COUNTY IMAGING CENTER ON BRAZOS, INC.	ANGLETON	TX	NA	NA	NA
	1023066412	3		3	NA	NA	NA	NA	NA	NA
	1023080439	4		4	EDGEFIELD COUNTY HOSPITAL	EDGEFIELD	SC	NA	NA	NA
	1023080660	2		2	GRANCARE LLC	LOS ANGELES	CA	NA	NA	NA
	1447586961	20		20	LONE STAR CIRCLE OF CARE	ROUND ROCK	TX	NA	NA	NA
	1871613737	1		1	SSC WINDSOR OPERATING COMPANY LLC	WINDSOR	CO	NA	NA	NA
	1447594809	1		1	LONESTAR HISTOLOGY, PLLC	CARROLLTON	TX	NA	NA	NA
	1023086634	1		1	NA	NA	NA	NA	NA	NA
	1023088168	106		106	NA	NA	NA	NA	NA	NA
	1023089984	188		188	JACKSON TENNESSEE HOSPITAL COMPANY LLC	JACKSON	TN	NA	NA	NA
	1023091097	15		15	THE WOODLANDS HEALTHCARE CENTER, LP	THE WOODLANDS	TX	NA	NA	NA
	1023093234	13		13	NA	NA	NA	NA	NA	NA
	1023095288	2		2	ESOTERIX, INC	SAN DIEGO	CA	NA	NA	NA
	1023099108	57		57	HANCOCK PARK REHABILITATION CENTER, LLC	LOS ANGELES	CA	NA	NA	NA
	1023103710	7,825		7,825	NA	NA	NA	NA	NA	NA
	1023104007	11		11	NA	NA	NA	NA	NA	NA
	1023104551	68		68	OUR LADY OF LOURDES REGIONAL MEDICAL CENTER	LAFAYETTE	LA	NA	NA	NA
	1023146099	6		6	NA	NA	NA	NA	NA	NA
	1023150026	6,709		6,709	NA	NA	NA	NA	NA	NA
	1457318909	115		115	BORSTING LABORATORIES, INC	NOVATO	CA	NA	NA	NA
	1023154465	18		18	NA	NA	NA	NA	NA	NA
	1457321036	22		22	PHC-CLEVELAND INC	CLEVELAND	MS	NA	NA	NA
	1023178662	9		9	NA	NA	NA	NA	NA	NA
	1457330243	2		2	NA	NA	NA	NA	NA	NA
	1023199544	2		2	ALLERGY & DERMATOLOGY SPECIALISTS, INC	SURPRISE	AZ	NA	NA	NA
	1023207610	10		10	NA	NA	NA	NA	NA	NA
	1023233152	637		637	NA	NA	NA	NA	NA	NA
	1457340168	187		187	NA	NA	NA	NA	NA	NA
	1457341042	79		79	MCCULLOUGH HALL NURSING CENTER, INC.	SAN ANTONIO	TX	NA	NA	NA
	1023250545	1,093		1,093	NA	NA	NA	NA	NA	NA
	1457345001	14		14	AG LA MESA, LLC	LA MESA	CA	NA	NA	NA
	1457345167	11		11	J-S DENISON OPERATIONS, LP	DENISON	TX	NA	NA	NA
	1457345597	11		11	SCOTLAND MEMORIAL HOSPITAL, INC.	LAURINBURG	NC	NA	NA	NA
	1023271657	2,978		2,978	KAISER FOUNDATION HEALTH PLAN OF GEORGIA INC.	KENNESAW	GA	NA	NA	NA
	1023272945	325		325	JACKSON COUNTY MEMORIAL HOSPITAL	ALTUS	OK	NA	NA	NA
	1023291838	1		1	NA	NA	NA	NA	NA	NA
	1023297462	439		439	GASTROENTEROLOGY CONSULTANTS OF SAN ANTONIO, P.A.	SAN ANTONIO	TX	NA	NA	NA
	1023306263	78		78	NA	NA	NA	NA	NA	NA
	1023306347	14,911		14,911	NA	NA	NA	NA	NA	NA
	1023313491	3		3	NA	NA	NA	NA	NA	NA
	1023316023	10		10	AZALEA HOLDINGS, LLC	SACRAMENTO	CA	NA	NA	NA
	1871913228	157		157	MEDICAL RESOURCE GROUP	ROCHESTER HILLS	MI	NA	NA	NA
	1457392763	202		202	NA	NA	NA	NA	NA	NA
	1023325479	21		21	NA	NA	NA	NA	NA	NA
	1023339900	21		21	NEXION HEALTH AT FORNEY, INC.	FORNEY	TX	NA	NA	NA
	1023408077	11		11	PREMIUM TOX SCREEN LLC	MESQUITE	TX	NA	NA	NA
	1871998559	64		64	FLORIDA SUNSHINE DIAGNOSTICS INC	OKEECHOBEE	FL	NA	NA	NA
	1023415023	15		15	MID-ATLANTIC PAIN SPECIALISTS LLC	PENNSVILLE	NJ	NA	NA	NA
	1023420072	42		42	GAMMA HEALTHCARE, INC	POPLAR BLUFF	MO	NA	NA	NA
	1023422698	249		249	LABORATORY SERVICES OF EAST TEXAS	DALLAS	TX	NA	NA	NA
	1457456279	13		13	HACKENSACK UNIVERSITY MEDICAL CENTER	HACKENSACK	NJ	NA	NA	NA
	1023443579	205		205	BEXAR I ENTERPRISES, LLC	SAN ANTONIO	TX	NA	NA	NA
	1457465403	11		11	VENTURE AMBULATORY SURGERY CENTER	NORTH MIAMI BEACH	FL	NA	NA	NA
	1457467623	12		12	OAKBEND MEDICAL CENTER	RICHMOND	TX	NA	NA	NA
	1023495181	7		7	NA	NA	NA	NA	NA	NA
	1033100995	88		88	ALLIED PHYSICIANS INC	FORT WAYNE	IN	NA	NA	NA
	1033101795	2		2	VIRTUA HEALTH AND REHABILITATION CENTER AT MOUNT. HOLLY, INC.	MT. HOLLY	NJ	NA	NA	NA
	1033103205	4		4	RRT ENTERPRISES LP	LOS ANGELES	CA	NA	NA	NA
	1033105366	735		735	ASHFORD HEALTH CARE CENTER LTD. CO	HOUSTON	TX	NA	NA	NA
	1174504203	92		92	PRUITTHEALTH - ESTILL, LLC	ESTILL	SC	NA	NA	NA
	1033108600	2		2	FRAN-JOM, INC	TEMPLE CITY	CA	NA	NA	NA
	1033114319	68		68	MAGNOLIA PLACE HEALTH CARE L L P	LIBERTY	TX	NA	NA	NA
	1881665412	33		33	NA	NA	NA	NA	NA	NA
	1033123682	492		492	PINE LEAF INVESTMENT INC.	MC RAE	GA	NA	NA	NA
	1033127832	929		929	NA	NA	NA	NA	NA	NA
	1033128897	1		1	ALABAMA DERMATOLOGY ASSOCIATES, PC	NORTHPORT	AL	NA	NA	NA
	1033135959	3		3	WELLSTAR NORTH FULTON HOSPITAL, INC	ROSWELL	GA	NA	NA	NA
	1033137088	507		507	NA	NA	NA	NA	NA	NA
	1457544942	3		3	NA	NA	NA	NA	NA	NA
	1033144027	3		3	NA	NA	NA	NA	NA	NA
	1033148820	1		1	HENRY COUNTY MEMORIAL HOSPITAL	SCOTTSBURG	IN	NA	NA	NA
	1033150917	2		2	UNIVERSITY PATHOLOGISTS LABORATORIES, LLP	SYRACUSE	NY	NA	NA	NA
	1033153762	43		43	DECATUR HOSPITAL AUTHORITY	FORT WORTH	TX	NA	NA	NA
	1457593188	4		4	WINCHESTER COMMUNITY MENTAL HEALTH CENTER, INC.	WINCHESTER	VA	NA	NA	NA
	1033154299	1		1	DEAN HEALTH SYSTEMS, INC.	MADISON	WI	NA	NA	NA
	1033157821	18		18	NA	NA	NA	NA	NA	NA
	1033159603	120		120	JORDAN VALLEY MEDICAL CENTER LP	WEST JORDAN	UT	NA	NA	NA
	1033163092	12		12	JACKSON HMA LLC	JACKSON	MS	NA	NA	NA
	1457633778	35		35	NA	NA	NA	NA	NA	NA
	1033171467	2,605		2,605	ARKANSAS PATHOLOGY ASSOCIATES PA	LITTLE ROCK	AR	NA	NA	NA
	1033172556	5		5	DCA OF CHAMBERSBURG, INC.	CHAMBERSBURG	PA	NA	NA	NA
	1033180195	1		1	LAKE WALES HOSPITAL CORPORATION	LAKE WALES	FL	NA	NA	NA
	1033180567	302		302	MEDICAL MANAGEMENT HEALTH & REHAB CENTER LLC	MACON	GA	NA	NA	NA
	1457731739	31		31	TRX LABS LLC	WEST PALM BEACH	FL	NA	NA	NA
	1033191267	9		9	STEPHENS COUNTY HOSPITAL AUTHORITY	TOCCOA	GA	NA	NA	NA
	1457755472	175		175	NA	NA	NA	NA	NA	NA
	1457757049	1		1	MOUNTAIN TOP TOXICOLOGY LLC	DURANGO	CO	NA	NA	NA
	1457789976	5,395		5,395	SUN CLINICAL LABORATORY LLC	SAN ANTONIO	TX	NA	NA	NA
	1033201611	11		11	GRACEWORKS LUTHERAN SERVICES	DAYTON	OH	NA	NA	NA
	1881745487	5		5	COORDINATED CARE CENTER INC.	SAN GABRIEL	CA	NA	NA	NA
	1033204342	1		1	DENTON TRANSITIONAL LTCH, LP	DENTON	TX	NA	NA	NA
	1033206362	139		139	NA	NA	NA	NA	NA	NA
	1467408781	582		582	SOUTHERN TENNESSEE MEDICAL CENTER LLC	WINCHESTER	TN	NA	NA	NA
	1033210315	1		1	NATCHEZ PEDIATRIC CLINIC PLLC	NATCHEZ	MS	NA	NA	NA
	1033217807	1		1	NA	NA	NA	NA	NA	NA
	1033225370	840		840	DAVID M HERZOG MD PC	STATEN ISLAND	NY	NA	NA	NA
	1467423038	23		23	BIOCARDIA DIAGNOSTICS INC	BROOKLINE	MA	NA	NA	NA
	1881800597	294		294	NA	NA	NA	NA	NA	NA
	1033279930	215		215	PM MANAGEMENT-BABCOCK NC LLC	SAN ANTONIO	TX	NA	NA	NA
	1033280581	2		2	TRU-CARE, INC.	MILPITAS	CA	NA	NA	NA
	1467434431	82		82	PREFERRED CARE HEALTH FACILITIES OF TEXAS I INC	ENNIS	TX	NA	NA	NA
	1881852747	65		65	NA	NA	NA	NA	NA	NA
	1881857035	23		23	WK ARKLATEX UROLOGY AND PROSTATE CANCER INSTITUTE	BOSSIER CITY	LA	NA	NA	NA
	1467446278	74		74	KAYAL INC.	HAYWARD	CA	NA	NA	NA
	1033293436	4		4	NA	NA	NA	NA	NA	NA
	1033294673	1		1	NA	NA	NA	NA	NA	NA
	1033295241	58		58	THE HEIGHTS OF SUMMERLIN, LLC	LAS VEGAS	NV	NA	NA	NA
	1033316203	6		6	MEADOWBROOK HEALTH CARE LLC	VAN ALSTYNE	TX	NA	NA	NA
	1174882963	6		6	SUNSHINE TOXICOLOGY, LLC	DALLAS	TX	NA	NA	NA
	1033341698	4		4	MANOR CARE OF MIDWEST CITY OK LLC	MIDWEST CITY	OK	NA	NA	NA
	1033351226	2		2	NA	NA	NA	NA	NA	NA
	1467492421	3		3	ST ELIZABETH MEDICAL CENTER, INC	EDGEWOOD	KY	NA	NA	NA
	1881968808	103		103	FW SENIOR COMMUNITY LTD CO	FORT WORTH	TX	NA	NA	NA
	1033374236	1		1	DYNACARE NORTHWEST INC.	ISSAQUAH	WA	NA	NA	NA
	1033381520	153		153	NA	NA	NA	NA	NA	NA
	1033415211	1,227		1,227	NA	NA	NA	NA	NA	NA
	1033421490	4		4	ACCATUR DIAGNOSTICS II LLC	IRVINE	CA	NA	NA	NA
	1033437579	9		9	NA	NA	NA	NA	NA	NA
	1033468509	333		333	MAYER J. SAAD MD P.C.	WESTBURY	NY	NA	NA	NA
	1033497649	23		23	EXECUTIVE HEALTH GROUP, PC	RICHMOND	VA	NA	NA	NA
	1033518535	8		8	ST GILES NURSING AND REHABILITATION CENTER LLC	EL PASO	TX	NA	NA	NA
	1033526967	1		1	PLANNED PARENTHOOD OF ILLINOIS	BLOOMINGTON	IL	NA	NA	NA
	1467534495	1		1	NA	NA	NA	NA	NA	NA
	1467536409	3		3	NA	NA	NA	NA	NA	NA
	1467537290	907		907	NA	NA	NA	NA	NA	NA
	1467538520	2		2	BAKERSFIELD MEMORIAL HOSPITAL	BAKERSFIELD	CA	NA	NA	NA
	1033546882	154		154	S&R WE CARE MEDICAL PC	BROOKLYN	NY	NA	NA	NA
	1033559141	1		1	NA	NA	NA	NA	NA	NA
	1043202518	2		2	BALLARD MEDICAL PRODUCTS	DRAPER	UT	NA	NA	NA
	1043204316	7		7	MERCY HOSPITAL INC	SPRINGFIELD	MA	NA	NA	NA
