PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014	Q32014	Q42014
E0255	0	0	0	6545	7889	9238	10085	10560	11262	11763	12573	12477
L3670	17521	15649	15344	16428	18631	17828	17505	18555	22040	20440	20367	20040
A6259	295	318	313	300	285	261	310	253	213	215	266	231
E2201	0	0	0	9411	9892	9812	0	0	9304	9194	9594	9245
E0961	0	0	0	24858	25121	24834	22800	20741	19547	19131	19533	19290
L6709	2	6	1	5	1	5	2	4	2	5	1	4
L4350	8823	10368	10423	8998	8643	10353	10424	9051	9292	10528	10761	9021
E1031	0	0	0	16164	15569	14759	13608	11899	10297	8812	7744	7049
E2363	4768	5043	4380	4058	3420	3938	3944	3682	3238	3721	3534	3459
A6203	1566	1691	1719	1540	1577	1815	1879	1741	1792	1922	2187	2257
E2615	0	0	0	1485	1342	1293	1191	1253	1193	1143	1197	1206
E2604	0	0	0	273	266	282	263	216	214	307	326	282
A6251	3416	3017	2854	2757	2667	2674	3095	2042	1909	1793	1803	1776
A6244	11	9	8	5	3	7	5	3	10	14	9	6
K0800	4489	4825	4525	3804	3004	2978	2532	2495	2252	2524	2875	2672
A6206	160	207	200	150	170	177	183	156	186	189	184	187
A6222	18833	16915	17465	0	0	0	0	0	0	0	0	0
E0256	0	0	0	1013	833	659	502	389	314	291	317	340
A4351	99177	102453	106092	108263	107602	109466	113354	111704	110500	112776	117840	120027
A4349	30044	30090	29833	29873	29192	28603	28630	28136	27341	26937	26739	26185
E0650	475	610	673	632	632	707	780	595	687	794	956	1351
A6235	1236	1204	1083	1124	1136	986	1034	1003	969	1005	923	876
E0630	86835	85744	84489	0	0	0	0	0	0	0	0	0
K0856	1526	1516	1310	0	0	0	0	0	0	0	0	0
E0135	15216	14209	13195	13013	13055	12155	10931	10536	10030	9771	9514	9126
E0956	0	0	0	3785	3390	3533	3959	4353	4035	4236	4389	4570
E2362	0	0	0	3	3	3	8	9	4	27	40	33
A4344	5900	6046	6124	6255	6264	6112	6152	5835	5662	5782	5796	5725
E2321	701	703	662	0	0	0	0	0	0	0	0	0
E2231	0	0	0	2329	2230	2254	2600	2489	2883	2498	2433	2015
B4155	0	0	0	15242	15001	14628	14148	13493	13553	12983	13073	12138
B4102	216	213	162	168	162	137	135	127	128	123	114	120
A4604	0	0	0	56688	61930	69982	69204	83274	86869	96585	108574	124614
E2370	6505	7503	7511	7551	6397	5636	5714	5201	5469	6605	7202	5963
A6532	836	870	833	771	671	614	616	580	542	602	639	563
E0655	57	46	55	79	77	98	162	84	92	76	81	89
E2360	0	0	0	9	14	19	11	10	14	23	8	2
A6021	27629	23897	21610	0	0	0	0	0	0	0	0	0
A6540	165	162	156	203	123	185	145	160	123	146	127	146
K0462	0	0	0	11129	8969	7533	7904	7608	8115	9454	9972	8017
B4158	21	17	13	16	15	25	15	22	26	22	21	22
E0973	56473	57191	55126	52979	50350	48302	42488	39877	38353	36807	37775	35448
K0002	18563	18678	18578	18169	18281	18282	18403	18316	19000	19537	20877	21640
A4259	1993005	1961657	1932340	0	0	0	0	0	0	0	0	0
L6704	15	29	16	23	12	29	17	13	20	15	18	12
B9002	72512	67120	61131	58966	61632	56611	61494	57594	60272	56488	55458	48661
E0272	0	0	0	1200	1417	1129	950	916	842	819	830	814
E0607	170732	177458	157905	0	0	0	0	0	0	0	0	0
E0271	0	0	0	4148	5202	4537	3923	3834	3827	3906	3823	3751
E2383	0	0	0	296	243	232	258	268	185	202	202	226
E0105	16216	16538	16278	0	0	0	0	0	0	0	0	0
A6247	16	17	7	12	13	12	5	8	7	27	30	36
L4396	14223	15590	16153	15043	14085	15525	16538	14604	13606	14670	15182	12597
E0303	12136	12027	11931	11322	11448	11064	10621	10111	9502	8855	8668	8583
E1020	0	0	0	1942	1859	1832	1659	1585	1641	1678	1696	1516
A6198	24	46	35	34	36	29	42	18	31	49	71	84
A4353	17389	17635	18317	18451	18413	18845	19270	18658	18421	18311	18558	18372
Q4008	1	0	0	0	0	0	0	0	0	0	0	0
L1930	4516	4471	4480	4175	3813	4098	4043	3712	3436	3783	3835	3446
E2369	0	0	0	191	175	192	172	153	126	148	157	139
K0077	0	0	0	1145	1260	1233	1091	1322	1051	1180	1382	1310
E0450	5919	5663	5367	5081	4976	4810	4741	4656	4662	4363	4271	4110
E2210	0	0	0	2258	1964	2020	2015	1695	1695	1737	1796	1757
E0154	0	0	0	4272	4204	4027	3612	3456	3199	3167	3348	3087
E0433	0	0	0	118	137	84	58	42	40	34	23	22
E0294	0	0	0	2171	2244	2150	2374	2525	2806	2821	2913	2738
E1810	17660	16621	15799	0	0	0	0	0	0	0	0	0
L1800	2	2	3	0	1	1	1	1	0	0	0	0
E1340	0	0	0	0	0	1	0	0	0	0	0	0
B4149	0	0	0	853	825	771	738	727	762	669	658	649
L8300	441	455	457	416	411	382	434	380	336	338	340	319
Q4038	101	173	71	4	9	7	1	4	8	14	10	3
A7033	108218	115520	110931	117748	114697	122167	115033	126711	124161	134728	146292	156777
E0291	0	0	0	1	0	0	2	3	3	8	7	3
E0731	8222	7426	6588	0	0	0	0	0	0	0	0	0
B4087	0	0	0	5566	5501	5022	4341	4261	4112	3985	4199	4207
A4452	48878	47567	46975	0	0	0	0	0	0	0	0	0
A6199	3573	3643	3737	3563	3296	3487	3859	3957	3781	4005	4327	4012
Q4007	0	1	0	0	0	0	0	0	0	0	0	0
E0185	19228	18111	17091	0	0	0	0	0	0	0	0	0
E1007	1932	2164	1971	0	0	0	0	0	0	0	0	0
L0637	19826	21875	22813	23722	24355	25806	25440	24527	18774	17384	15480	13196
A4590	82	101	61	13	15	8	12	6	15	12	7	11
A6545	1681	1953	2205	2158	2179	2653	3048	3261	3058	3577	3787	3635
E2606	0	0	0	92	53	50	50	64	56	52	61	64
T4523	2	0	1	0	0	1	0	1	18	10	8	6
E0604	38	24	25	57	23	29	21	24	26	25	32	27
L8010	843	909	909	903	781	994	879	882	692	853	804	838
Q4006	6	12	0	1	0	0	0	0	0	2	0	0
A6257	3020	3003	3016	2877	3109	3115	2962	2985	2837	2767	2870	2671
A6237	1629	1587	1420	1323	1298	1457	1369	1307	1289	1206	1248	1121
E0990	9140	9187	8761	7995	7289	6915	6624	6381	6256	5205	5225	4684
E0439	93117	85395	77751	72324	70517	63389	59000	52947	50334	44039	41691	37677
B4036	16711	15902	15030	14920	15413	14675	13455	13386	13766	13520	13773	13549
L1845	4391	5685	5470	5715	5826	6659	6640	6278	4526	5457	5269	3870
K0851	85	84	80	80	61	55	29	20	26	34	19	20
A6544	4	3	2	2	7	1	1	2	3	4	3	2
Q4051	78	62	13	2	6	4	1	4	14	4	3	6
A7034	318778	325640	315465	326863	318770	336779	306753	336109	320996	343538	365757	380773
E1038	0	0	0	66608	66209	64716	61262	56737	53076	48553	47183	45608
E0603	34	34	38	33	38	51	51	42	51	57	92	102
K0813	0	0	0	130	106	88	70	45	45	42	25	28
E0570	1082101	1042367	1020041	0	0	0	0	0	0	0	0	0
A6254	248	262	244	258	241	232	242	248	259	283	431	275
E0310	0	0	0	1636	2091	1784	1993	1998	1873	1445	1436	1113
A4352	21361	21922	23319	24381	24517	25654	27015	27001	27110	28435	29907	30888
B4081	0	0	0	45	38	48	30	30	22	33	29	23
A6541	10	11	17	19	21	23	9	27	7	8	9	10
L0631	36508	38179	41384	43780	35237	36990	33942	32105	16416	13260	11271	9351
E0373	0	0	0	135	91	85	103	121	184	256	336	443
A9276	2127	2161	2330	2509	2466	2592	2837	3179	2889	3454	3434	3244
A6534	883	909	905	995	778	952	945	904	701	851	818	935
A4629	16672	16535	16223	0	0	0	0	0	0	0	0	0
T4524	3	2	3	1	0	0	0	0	10	3	2	2
S9343	2	0	1	2	0	0	0	0	0	0	0	0
E2364	0	0	0	13	28	24	24	58	58	33	46	68
K0739	77407	82159	81941	0	0	0	0	0	0	0	0	0
K0004	176635	170357	166020	160558	159760	153718	144701	129815	114240	94551	78824	67619
T4534	0	0	0	0	0	0	1	0	0	0	0	0
T4521	0	0	1	0	0	0	1	0	0	2	3	1
A6207	904	962	1070	997	1047	1160	1348	1428	1315	1584	1631	1550
E2395	0	0	0	2108	1824	2057	2264	2120	2427	2898	3252	2570
A6197	8480	8631	9276	0	0	0	0	0	0	0	0	0
E0290	0	0	0	13	17	14	24	26	29	37	41	47
A4323	0	0	0	0	1	0	0	0	0	0	0	0
E2613	0	0	0	1282	1117	1119	1090	1138	1139	1121	1200	1164
E0670	0	0	0	1	2	6	4	5	1	5	10	2
L7007	48	46	45	58	51	45	41	46	32	29	30	41
B4160	589	568	562	552	571	557	467	479	538	477	494	443
E2611	18105	18915	17940	17869	18715	19276	14955	16192	15394	16715	15969	15871
B4083	0	0	0	14	19	14	17	17	14	13	12	10
L3260	18029	19190	19415	17193	17342	18782	19992	18291	18315	20565	21034	17971
L4360	41627	44890	45470	44040	43851	47588	50459	47832	43651	41416	39674	33824
E0910	0	0	0	43845	42709	39711	37366	34122	31775	28418	27112	25484
B4088	0	0	0	2283	2467	2384	2336	2244	2461	2350	2438	2557
E2203	0	0	0	1301	1225	1204	1283	1219	1498	1498	1435	1166
B9000	0	0	0	166	175	169	157	97	101	108	118	94
E0668	521	545	555	469	524	660	565	570	501	613	611	704
T4535	0	20	6	4	3	1	0	0	16	12	5	5
A4432	23635	24629	25152	25925	23687	24489	25292	25545	23563	24301	24496	24756
A4354	1497	1573	1601	1678	1705	1788	1639	1629	1502	1571	1543	1506
A6531	5560	5747	5992	6457	5510	6145	6101	6119	5077	5713	5572	5423
K0069	0	0	0	353	463	432	362	404	339	425	446	427
A6266	9412	9280	10382	0	0	0	0	0	0	0	0	0
K0821	0	0	0	227	186	226	648	1763	2514	3012	3882	3950
Q4022	18	17	5	2	1	2	0	1	0	3	1	3
L0627	16881	17419	18001	18992	16107	16530	17632	20567	12584	11998	11416	9960
E0140	0	0	0	288	315	295	130	118	225	177	197	188
A6242	1843	1654	1484	1349	1249	1347	1357	1328	1105	1455	1645	1511
A7039	165514	170953	165006	173488	167585	179799	165740	184737	172204	190847	192771	196250
A4253	3415047	3400337	3349524	0	0	0	0	0	0	0	0	0
L1843	4056	5632	6323	6527	6840	8594	8735	9644	9197	9460	10055	7820
E0251	0	0	0	241	131	122	125	137	169	183	202	203
E0666	134	215	230	195	144	164	221	114	153	154	147	136
E0193	0	0	0	163	166	155	160	155	153	152	186	173
A6011	538	430	406	348	295	357	391	402	443	315	356	345
E0372	0	0	0	359	285	278	375	508	752	779	705	624
A6212	57257	51710	47433	0	0	0	0	0	0	0	0	0
B4100	1022	945	973	1026	985	1088	1042	1004	1068	1042	1063	1026
A6549	3245	3711	3861	4194	3244	4087	3950	4441	3263	4124	4456	4590
A6205	0	4	10	5	8	10	4	9	7	5	8	5
A6535	78	83	88	77	82	76	86	86	75	76	71	78
E0657	81	13	23	12	14	21	6	9	7	19	11	24
K0052	0	0	0	2652	3048	2774	3080	2874	3025	4129	4710	3699
A6223	4179	4438	4587	4475	4397	4515	4858	4885	4833	4806	5347	5027
A7037	422638	426523	403866	410645	397075	415076	378349	409933	391156	415823	440996	456125
E2311	2501	2781	2534	0	0	0	0	0	0	0	0	0
E2394	0	0	0	3032	2664	2619	3052	3078	3506	3884	4250	3824
L5321	1602	1729	1529	1683	1519	1636	1560	1645	1437	1661	1631	1665
E2310	1277	1278	1149	0	0	0	0	0	0	0	0	0
A7027	0	0	0	3639	3525	3543	3159	3250	3165	3133	3064	3109
A6196	21803	20164	20100	0	0	0	0	0	0	0	0	0
L1971	4645	5794	6412	6792	5998	6830	6330	6909	6320	7451	8632	8206
K0829	0	0	0	26	28	25	15	8	4	6	6	8
E0562	258271	259547	260907	263244	270165	271911	272944	269062	259786	254588	260728	264981
E2612	0	0	0	457	505	534	397	497	480	584	536	488
E0978	0	0	0	29482	30536	31336	28859	27425	25728	24692	23366	21512
A9270	67446	66851	64221	64425	62541	61183	61069	58083	55357	54354	54818	56152
E2367	0	0	0	207	156	167	159	151	139	93	139	90
E0651	10679	11201	11131	10075	10517	11268	5584	5336	4938	5769	6266	6182
Q4014	4	4	1	1	0	0	0	0	0	3	0	0
A6245	31	38	64	81	106	104	147	130	94	111	92	60
E0250	0	0	0	4349	5552	6613	8045	9224	10532	11850	13452	14233
E2381	0	0	0	1191	950	1082	1246	1037	712	1015	1038	549
E2371	0	0	0	22	14	17	13	7	13	9	12	5
E0431	1373882	1274416	1181926	1142387	1197285	1142760	1145800	1083645	1115645	1070268	1068702	1032152
A6236	216	268	207	190	175	111	164	148	131	152	116	122
E1002	1828	1944	1696	0	0	0	0	0	0	0	0	0
T4541	1	5	5	4	9	4	5	5	19	29	17	9
E0293	0	0	0	38	29	28	24	9	7	9	15	23
B4157	168	164	196	212	256	235	201	231	265	235	251	245
B4035	180573	171576	156653	150369	153953	146882	150873	145485	149095	142712	140864	134782
A6252	11612	11883	12276	0	0	0	0	0	0	0	0	0
E0424	0	0	0	745	886	860	833	795	1019	1028	1017	961
E2365	45385	49412	45668	38243	30931	27745	23457	18858	17566	21933	22596	17314
A6530	10764	12245	12202	12182	10871	12887	12629	11989	10800	13232	13542	12629
A4324	0	0	0	0	0	0	0	2	0	0	0	0
E0442	55825	56166	57020	57802	59302	58190	58682	55691	53847	49654	47256	44262
A7005	137740	124371	114572	0	0	0	0	0	0	0	0	0
L3923	8446	8584	7953	8233	8721	9181	8444	8238	8573	7847	6677	6330
Q4017	1	0	5	0	0	0	0	0	0	0	0	0
K0056	0	0	0	2045	2117	2184	2137	1908	1676	1465	1543	1277
E0434	118543	108556	98159	91053	88820	80003	74918	67632	63918	55739	52536	47964
E0155	0	0	0	2399	2324	2118	1891	1568	1455	1629	1507	1451
K0861	2002	2269	2050	0	0	0	0	0	0	0	0	0
Q4021	1	9	0	2	0	0	0	0	0	0	0	0
E0673	147	266	303	2937	5292	5695	5688	5020	6181	9148	10222	9265
E2206	0	0	0	1746	1967	1925	1769	1841	1839	2150	2091	2075
G0399	0	0	0	1	0	0	0	0	0	0	0	0
E2387	0	0	0	2425	2222	2505	2850	2790	2563	2587	2527	2332
A6240	1611	2047	2214	2256	2337	3027	3305	2901	2963	3308	3720	3490
L1825	3	1	1	0	1	0	0	0	0	0	0	0
E2361	13067	13962	12780	11294	9827	9438	9216	8266	8260	9642	9722	8369
Q4010	44	61	9	1	1	3	5	3	9	9	11	1
E0955	7757	8512	7785	7962	7053	7288	7790	8201	8045	8506	8324	8012
E0301	0	0	0	1370	1394	1342	1349	1237	1226	1061	1053	1042
Q4033	1	0	0	0	0	0	0	0	0	0	0	0
E0784	28639	29074	29764	31078	33357	33686	33468	32294	31078	30739	34857	40080
E0149	5621	6023	5551	5298	5405	5800	4798	4478	4370	4908	4955	4694
E2601	42223	42817	39952	39295	40465	40400	31408	32764	32263	33674	33226	32629
E0992	0	0	0	686	674	684	561	578	528	540	499	493
L3480	539	512	486	451	387	460	437	371	291	376	424	500
E0665	28	31	21	21	25	35	24	21	28	29	17	25
E0950	0	0	0	1288	1233	1282	1187	1179	1236	1134	1153	1091
L5301	4928	5318	5133	4860	4151	4644	4717	4915	4174	5020	5064	5040
A6231	5079	4801	4376	3999	4078	4383	4838	4293	4522	4353	3722	3173
E0935	51817	47466	44929	24450	25086	22082	21780	23851	23709	21462	20601	20039
E0602	1	0	0	0	1	2	5	4	4	2	0	4
E0672	21	28	21	26	34	22	28	14	19	13	8	9
A6233	15	22	18	21	20	143	73	26	18	16	17	25
L6025	1	1	0	2	3	0	5	4	4	6	1	1
E2396	0	0	0	930	786	847	869	757	928	1089	992	888
A6204	482	391	455	387	491	529	459	395	430	388	428	438
Q4050	32	12	6	4	4	4	11	0	0	4	6	10
A6538	5	12	3	6	10	13	8	7	4	9	6	3
Q4037	7	8	10	3	3	2	0	0	0	0	0	0
E2608	0	0	0	277	226	250	250	264	237	242	235	220
L6020	3	1	2	0	3	0	0	3	2	1	11	3
A6214	214	220	282	327	348	408	432	435	503	482	440	572
A7028	0	0	0	2743	2763	2829	2652	2769	2750	2713	2824	2766
E0443	205696	200463	197430	189162	191611	191790	196956	192747	183241	172881	170048	157245
A4258	583187	586441	551716	0	0	0	0	0	0	0	0	0
A6258	3150	3250	3388	3343	3334	3404	3514	3390	3118	3149	3303	3240
L6721	25	30	24	32	15	32	30	42	25	25	23	33
A4311	4198	3881	3483	3523	3389	3156	3352	3286	2994	2894	2904	2934
E0675	1863	1932	2016	6671	9130	9560	4563	4216	4829	5983	6355	5543
A4310	16494	16418	16451	16468	16083	16407	16333	15769	15841	15662	16163	16057
L3807	21310	22462	22633	23740	24061	25582	25028	24246	20634	18585	16996	15366
A6234	7056	6960	7020	6822	6839	6847	7081	6634	6683	6601	6743	6186
A4385	34109	35907	36977	39217	37175	39117	41237	42458	40423	41266	41891	42597
E0292	0	0	0	63	72	87	78	71	67	51	61	83
K0825	32216	32120	30402	27120	24270	20460	15283	9776	9728	9756	10009	10460
K0015	0	0	0	931	855	783	970	804	720	765	764	542
A4554	17456	18391	17651	16974	16274	17260	17786	16851	16196	14542	15700	16486
L1810	13480	15439	14661	13804	12629	14295	14269	14121	12065	12569	12158	10750
E0147	0	0	0	981	906	1027	889	815	711	792	804	866
T4536	0	0	1	2	0	1	0	0	5	4	1	0
A6446	29070	27683	26865	0	0	0	0	0	0	0	0	0
A7038	493417	516138	481990	505467	499616	530279	502265	550810	539514	578689	621376	656325
Q4013	2	0	0	0	0	0	0	1	0	0	0	0
K0001	469041	463874	457613	450650	457656	448473	445779	433964	426876	412045	413584	404458
E0472	0	0	0	73	88	72	79	61	62	48	52	48
E0295	0	0	0	3964	3989	3952	3750	3631	3352	3253	3282	3280
K0053	0	0	0	3287	3631	3442	3231	2997	2490	2136	2059	1966
E0600	38286	37298	35993	0	0	0	0	0	0	0	0	0
E1226	0	0	0	11423	11380	11215	10435	9921	9684	9533	9595	9161
A5063	59896	60772	60797	61999	56279	57447	57873	57993	53344	54243	54126	53698
A5102	1567	1627	1598	1674	1499	1478	1541	1644	1466	1412	1483	1467
E0261	26591	26951	27105	27607	28821	28712	27582	24614	22365	20302	19572	19781
A4624	13676	13390	12862	0	0	0	0	0	0	0	0	0
K0827	0	0	0	1479	1277	1047	827	621	656	697	759	722
L6708	22	30	28	20	18	21	15	14	15	23	17	27
A4409	36541	37929	39376	41110	38180	39962	41432	42228	39764	41104	41500	41666
E1391	0	0	0	586	627	585	546	494	467	416	407	377
A6533	3190	3407	3383	3301	3049	3386	3286	3294	2873	3456	3485	3613
A6024	66	62	41	38	45	53	70	57	58	62	79	110
E0652	1598	1600	1563	1639	1500	1674	750	786	560	700	679	714
E0304	0	0	0	588	585	500	453	462	404	385	357	320
E0215	473	258	210	0	0	0	0	0	0	0	0	0
E0667	10732	11802	13310	6229	5942	6650	6364	6430	5184	6216	6520	6153
A6246	12	21	10	7	11	6	2	5	28	16	8	8
K0019	0	0	0	8724	7988	7339	7366	6494	5922	6511	6566	6135
A4595	121954	121867	115782	0	0	0	0	0	0	0	0	0
A6253	5868	5740	5918	0	0	0	0	0	0	0	0	0
E0130	0	0	0	160	193	190	156	157	134	98	121	118
A7044	0	0	0	251	224	227	203	195	178	172	143	164
A6208	23	26	21	33	31	24	29	28	15	6	5	9
B4104	76	51	32	39	48	65	78	56	74	70	58	48
E0561	0	0	0	547	489	504	430	347	304	277	296	243
K0828	0	0	0	22	19	12	9	4	6	4	2	3
E0260	574694	556970	535937	515426	513334	483477	463424	429787	408364	372389	355290	335740
K0826	0	0	0	234	183	156	144	144	158	162	154	158
Q4001	0	3	1	0	0	0	0	0	0	0	0	0
A4338	24497	23884	24332	24002	23743	24071	23925	23132	23146	22956	23122	22620
A7031	141953	153707	146554	156477	157829	165938	163346	184486	187043	202117	219414	233365
K0040	0	0	0	5540	4808	4711	5162	5499	5725	5732	6008	5758
A6550	38394	39856	37660	38107	35956	37643	38351	37983	34292	36010	36255	35367
A7045	0	0	0	1098	1283	1418	1654	2448	981	884	1007	1104
E0441	0	0	0	496	529	404	296	238	281	339	412	472
A6537	65	71	53	63	48	52	45	47	36	48	38	46
A4326	1367	1381	1558	1684	1867	1815	1902	2083	2072	2266	2198	2453
A4357	103344	103593	103498	105019	101187	101968	103315	102281	100252	100442	101335	101431
K0822	26779	25829	24672	21748	19718	17487	14430	11154	10248	9311	8882	8886
E0957	0	0	0	404	350	365	405	407	443	404	391	420
E1392	124259	129302	137066	149964	167579	173123	187392	188842	196836	196066	204768	203219
L1970	8342	9259	9039	8709	7151	8289	8544	8097	6967	7951	8210	7918
E2213	0	0	0	2678	2514	2434	2620	2706	2908	2599	2775	2832
E0601	803275	808107	817405	826863	849406	843279	855063	837241	832617	806825	830910	834680
A7029	0	0	0	3106	3116	3212	2951	3021	2928	2902	2889	2860
A7032	136058	140928	133023	138736	138070	146388	142046	160333	158522	162684	174663	186411
E0163	112033	104795	98557	0	0	0	0	0	0	0	0	0
L1960	6296	6810	6455	6071	5499	6054	5947	5767	4923	5406	5767	5520
L1820	11174	12284	12955	13366	13594	15974	16552	15549	16455	19015	20115	18935
Q4032	0	1	0	0	0	0	0	0	0	0	0	0
E2204	0	0	0	139	148	185	217	286	358	233	209	113
E0463	8534	8784	9199	9195	9756	10017	10093	10410	11088	11159	11423	11459
A4425	26992	28243	29217	30864	28642	30082	31112	31746	29973	30803	31696	31980
E0302	0	0	0	183	201	183	149	129	110	97	117	102
A6023	151	206	218	248	224	265	148	108	121	172	187	138
A4419	19035	19597	19698	20337	19019	19394	19851	20042	19201	19515	19797	19906
Q4040	1	0	0	0	0	0	0	0	0	0	0	0
E0181	58066	55703	54085	0	0	0	0	0	0	0	0	0
E1161	2300	2638	2469	0	0	0	0	0	0	0	0	0
T4537	0	0	0	2	3	1	0	1	2	4	3	4
A7030	201999	205941	202490	211456	211470	220045	208338	225040	220635	237187	252106	263618
A4362	4237	5069	7388	9388	12484	16440	17416	17736	17015	19565	20289	20940
A7036	0	0	0	38111	38050	39082	37609	40022	37752	38992	40548	40620
Q4030	1	4	5	0	0	1	0	0	0	0	0	0
Q4035	0	1	0	0	0	0	0	0	0	0	0	0
E0730	74804	76613	63459	0	0	0	0	0	0	0	0	0
B4103	81	68	66	68	79	86	54	56	66	67	79	70
A6256	1	1	3	0	0	1	2	6	3	5	4	9
E2605	0	0	0	1230	1000	919	875	873	727	846	783	741
A4389	4711	4936	5028	5235	4801	5119	5272	5394	4971	5121	5331	5266
K0006	29294	28742	28003	27150	27642	27258	26506	24965	24136	22571	22526	22231
L3660	2815	2715	2852	3034	3189	3254	3168	3348	3786	3681	4508	5982
A6010	904	935	1230	0	0	0	0	0	0	0	0	0
K0070	0	0	0	560	576	530	603	655	550	602	603	679
K0801	0	0	0	314	290	327	313	320	267	302	301	267
A4500	762	715	696	606	632	736	727	661	640	722	627	525
L6715	2	4	2	1	2	2	3	3	2	5	9	3
L3908	71231	72766	69749	69079	70282	73974	71505	70220	73563	74131	72897	69967
K0824	2823	2791	2645	2266	2053	1837	1596	1276	1219	1178	1180	1137
E0158	0	0	0	307	321	323	280	321	340	345	315	328
K0820	0	0	0	6	4	1	4	28	72	120	161	158
A4430	6167	6522	6506	6802	6217	6451	6636	6709	6322	6522	6607	6637
Q4046	17	8	0	0	1	0	0	0	2	0	0	0
A4340	3772	3827	3817	3831	3806	3768	3690	3519	3401	3575	3634	3576
E0951	0	0	0	28182	28271	28365	26019	24204	21718	19439	18589	17606
K0815	0	0	0	91	71	101	121	157	206	263	278	274
B4161	240	238	244	218	235	215	175	196	214	183	197	224
A6210	5254	5203	5151	0	0	0	0	0	0	0	0	0
Q4005	0	0	0	0	0	0	0	0	0	2	1	0
95806	0	1	1	1	1	0	14	14	1	0	1	1
A4495	285	273	217	283	437	418	507	633	681	660	517	228
E0157	0	0	0	108	100	109	78	92	38	37	33	32
L4386	15522	16852	16690	15305	15032	16305	17108	15794	14311	13865	13137	11221
E0143	242032	244734	231172	227539	232182	234869	202354	199662	192648	200627	201758	195178
K0816	0	0	0	456	414	453	849	1787	3055	4415	5776	6539
E0971	100756	102118	100803	100942	104312	102174	96604	90464	83918	76421	72856	68122
L8310	336	309	321	290	314	289	299	303	230	291	258	253
A6022	1190	1787	1887	1765	849	688	1545	1318	1300	1334	1494	1246
E2366	8295	8932	9092	8763	7886	7793	7459	6414	7007	8600	9447	7088
E2616	0	0	0	76	95	95	71	62	76	61	67	59
L0172	2574	2714	2394	2433	2396	2396	2519	2325	2254	2509	2501	2203
E2368	0	0	0	363	374	374	369	426	349	353	333	294
