PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014
L1906	10114	8391	8084	6802	6337	7081	7217	6602	6407	7253
K0056	0	0	0	2045	2117	2184	2137	1908	1676	1465
E0731	8222	7426	6588	0	0	0	0	0	0	0
A6266	9412	9280	10382	0	0	0	0	0	0	0
E2607	0	0	0	4030	3513	3330	3271	3359	3233	3276
A4452	48878	47567	46975	0	0	0	0	0	0	0
Q4007	0	1	0	0	0	0	0	0	0	0
B4155	0	0	0	15242	15001	14628	14148	13493	13553	12983
A6196	21803	20164	20100	0	0	0	0	0	0	0
A6259	295	318	313	300	285	261	310	253	213	215
E0280	0	0	0	19	35	26	17	8	11	6
E0140	0	0	0	288	315	295	130	118	225	177
A4406	48231	48748	48581	50007	45236	45850	46321	46265	42235	42065
A6541	10	11	17	19	21	23	9	27	7	8
Q4018	2	6	0	1	0	0	1	1	0	1
E0155	0	0	0	2399	2324	2118	1891	1568	1455	1629
E2375	2761	3429	3661	0	0	0	0	0	0	0
L3510	73	92	88	95	81	82	79	65	68	67
K0829	0	0	0	26	28	25	15	8	4	6
L0626	2610	2986	3022	2963	2850	3322	3201	3074	2516	2530
B9998	1217	1124	969	937	1043	1090	776	758	797	691
E0444	55254	56215	56615	56153	57287	56054	55884	53370	51420	46405
E0978	0	0	0	29482	30536	31336	28859	27425	25728	24692
E1020	0	0	0	1942	1859	1832	1659	1585	1641	1678
E2606	0	0	0	92	53	50	50	64	56	52
A4495	285	273	217	283	437	418	507	633	681	660
T4525	0	0	0	1	0	0	0	2	0	1
L6709	2	6	1	5	1	5	2	4	2	5
T4537	0	0	0	2	3	1	0	1	2	4
A6534	883	909	905	995	778	952	945	904	701	851
L4350	8823	10368	10423	8998	8643	10353	10424	9051	9292	10528
E0675	1863	1932	2016	6671	9130	9560	4563	4216	4829	5983
L4386	15522	16852	16690	15305	15032	16305	17108	15794	14311	13865
A6234	7056	6960	7020	6822	6839	6847	7081	6634	6683	6601
A6208	23	26	21	33	31	24	29	28	15	6
L1825	3	1	1	0	1	0	0	0	0	0
Q4030	1	4	5	0	0	1	0	0	0	0
A4629	16672	16535	16223	0	0	0	0	0	0	0
A4414	57691	58564	57958	58961	53710	54216	54312	54125	49936	50341
E0439	93117	85395	77751	72324	70517	63389	59000	52947	50334	44039
K0828	0	0	0	22	19	12	9	4	6	4
A4353	17389	17635	18317	18451	18413	18845	19270	18658	18421	18311
K0015	0	0	0	931	855	783	970	804	720	765
E0260	574694	556970	535937	515426	513334	483477	463424	429787	408364	372389
A6209	25075	21717	20549	0	0	0	0	0	0	0
A6206	160	207	200	150	170	177	183	156	186	189
Q4010	44	61	9	1	1	3	5	3	9	9
E0143	242032	244734	231172	227539	232182	234869	202354	199662	192648	200627
A6236	216	268	207	190	175	111	164	148	131	152
T4534	0	0	0	0	0	0	1	0	0	0
A7003	288599	268760	262011	0	0	0	0	0	0	0
T4521	0	0	1	0	0	0	1	0	0	2
A4358	58813	58497	58861	58746	57521	57802	57143	55389	54098	53569
Q4033	1	0	0	0	0	0	0	0	0	0
E0149	5621	6023	5551	5298	5405	5800	4798	4478	4370	4908
E0256	0	0	0	1013	833	659	502	389	314	291
K0823	309694	293481	267317	231497	200581	166730	122401	73947	67647	63148
E2601	42223	42817	39952	39295	40465	40400	31408	32764	32263	33674
