NPI	NPICNT	TAXONOMY_CODE	TAXONOMY_DESC1	TAXONOMY_DESC2	TAXONOMY_DESC3	ORG_TYPE_CODE	ORG_TYPE_DESC
1649227265	4	156FX1800X	Eye and Vision Services Providers	Technician/Technologist	Optician	1013008	Group Practice, General Medical
1306869227	2	163W00000X	Nursing Service Providers	Registered Nurse		1013008	Group Practice, General Medical
1306230891	1	163WP0808X	Nursing Service Providers	Registered Nurse	Psych/Mental Health	1013008	Group Practice, General Medical
1952575789	5	163WW0101X	Nursing Service Providers	Registered Nurse	Women's Health Care, Ambulatory	1013008	Group Practice, General Medical
1487632998	26,675	170100000X	Other Service Providers	Medical Genetics, Ph.D. Medical Genetics		1013008	Group Practice, General Medical
1982694931	19,839	170300000X	Other Service Providers	Genetic Counselor, MS		1013008	Group Practice, General Medical
1477694396	2	173000000X	Other Service Providers	Legal Medicine		1013008	Group Practice, General Medical
1669654901	1	173000000X	Other Service Providers	Legal Medicine		1013008	Group Practice, General Medical
1538275920	4	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1568847648	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1831132018	10	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1346229192	38	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1033128897	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1063560803	12	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1407996978	684	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1730392564	2	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1477763191	3	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1083772016	6	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1477519056	497	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1083659569	16	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1013012145	211	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1679637292	50	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1346271251	133,516	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1063421550	259	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1316289853	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1780772061	9	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1831306018	14	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1346645512	29	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1124199484	6	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1831362698	6	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1144419458	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1689639353	27	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1770748212	38	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1366440570	5	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1174884258	24	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1174556963	2	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1265565550	15	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1265690093	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1659380863	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1750595997	18	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1003829797	496	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1043410566	186	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1669697157	12	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1346242567	542	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1063695237	4	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1407060700	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1336257450	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1881728376	336	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1619077724	11	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1932283264	446	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1003998253	3	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1497898381	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1477887982	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1518990472	2	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1609278597	5	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1841383536	223	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1023084340	47,804	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1881710952	226	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1467536276	6	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1902929615	2	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1891786315	738	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1104830074	2	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1134207483	48	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1730173956	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1043321185	10	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1144234527	2	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1740235969	351	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1881781417	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1851336564	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1235336306	3	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1518940667	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1912084377	89	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1497765606	6	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1942344593	199	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1467651455	8	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1477580637	53	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1013189612	3	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1780642827	2	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1013048552	103	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1447293790	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1740427509	13	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1437206984	5	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1033468509	333	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1689009854	1,370	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1730136573	6	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1154375186	159	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1942203047	4	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1588797179	6	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1376669952	1	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1275616054	39	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1972709822	36	174400000X	Other Service Providers	Specialist		1013008	Group Practice, General Medical
1518174309	1	175F00000X	Other Service Providers	Naturopath		1013008	Group Practice, General Medical
1083727960	7	1835P1200X	Pharmacy Service Providers	Pharmacist	Pharmacotherapy	1013008	Group Practice, General Medical
1316261993	3	204C00000X	Allopathic & Osteopathic Physicians	Neuromusculoskeletal Medicine, Sports Medicine		1013008	Group Practice, General Medical
1164529061	1	204D00000X	Allopathic & Osteopathic Physicians	Neuromusculoskeletal Medicine & OMM		1013008	Group Practice, General Medical
1821007584	3	204D00000X	Allopathic & Osteopathic Physicians	Neuromusculoskeletal Medicine & OMM		1013008	Group Practice, General Medical
1417992249	33	204E00000X	Allopathic & Osteopathic Physicians	Oral & Maxillofacial Surgery		1013008	Group Practice, General Medical
1184917924	35,901	204E00000X	Allopathic & Osteopathic Physicians	Oral & Maxillofacial Surgery		1013008	Group Practice, General Medical
1306929385	1	204E00000X	Allopathic & Osteopathic Physicians	Oral & Maxillofacial Surgery		1013008	Group Practice, General Medical
1184917924	35,901	204E00000X	Allopathic & Osteopathic Physicians	Oral & Maxillofacial Surgery		1013008	Group Practice, General Medical
1306929385	1	204E00000X	Allopathic & Osteopathic Physicians	Oral & Maxillofacial Surgery		1013008	Group Practice, General Medical
1942241351	6,497	204F00000X	Allopathic & Osteopathic Physicians	Transplant Surgery		1013008	Group Practice, General Medical
1134252802	1	204F00000X	Allopathic & Osteopathic Physicians	Transplant Surgery		1013008	Group Practice, General Medical
1942241351	6,497	204F00000X	Allopathic & Osteopathic Physicians	Transplant Surgery		1013008	Group Practice, General Medical
1124396387	1	207K00000X	Allopathic & Osteopathic Physicians	Allergy & Immunology		1013008	Group Practice, General Medical
1578628889	14	207K00000X	Allopathic & Osteopathic Physicians	Allergy & Immunology		1013008	Group Practice, General Medical
1124166574	11,689	207K00000X	Allopathic & Osteopathic Physicians	Allergy & Immunology		1013008	Group Practice, General Medical
1538297726	1	207K00000X	Allopathic & Osteopathic Physicians	Allergy & Immunology		1013008	Group Practice, General Medical
1700138781	3	207K00000X	Allopathic & Osteopathic Physicians	Allergy & Immunology		1013008	Group Practice, General Medical
1356322440	57	207K00000X	Allopathic & Osteopathic Physicians	Allergy & Immunology		1013008	Group Practice, General Medical
1780631432	70,490	207K00000X	Allopathic & Osteopathic Physicians	Allergy & Immunology		1013008	Group Practice, General Medical
1457337016	27	207K00000X	Allopathic & Osteopathic Physicians	Allergy & Immunology		1013008	Group Practice, General Medical
1871573949	1	207KA0200X	Allopathic & Osteopathic Physicians	Allergy & Immunology	Allergy	1013008	Group Practice, General Medical
1891112637	1,214	207KA0200X	Allopathic & Osteopathic Physicians	Allergy & Immunology	Allergy	1013008	Group Practice, General Medical
1558525824	1	207KA0200X	Allopathic & Osteopathic Physicians	Allergy & Immunology	Allergy	1013008	Group Practice, General Medical
1780676304	153	207KI0005X	Allopathic & Osteopathic Physicians	Allergy & Immunology	Clinical & Laboratory Immunology	1013008	Group Practice, General Medical
1487953600	267	207L00000X	Allopathic & Osteopathic Physicians	Anesthesiology		1013008	Group Practice, General Medical
1720051717	412	207L00000X	Allopathic & Osteopathic Physicians	Anesthesiology		1013008	Group Practice, General Medical
1538597745	1	207L00000X	Allopathic & Osteopathic Physicians	Anesthesiology		1013008	Group Practice, General Medical
1225081516	2	207L00000X	Allopathic & Osteopathic Physicians	Anesthesiology		1013008	Group Practice, General Medical
1811944515	2	207L00000X	Allopathic & Osteopathic Physicians	Anesthesiology		1013008	Group Practice, General Medical
1548470065	4	207L00000X	Allopathic & Osteopathic Physicians	Anesthesiology		1013008	Group Practice, General Medical
1326093675	6	207L00000X	Allopathic & Osteopathic Physicians	Anesthesiology		1013008	Group Practice, General Medical
1558428789	69	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1295163343	168	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1336491877	75	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1144509985	38	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1760441141	13	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1053358846	3,085	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1275805491	4	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1295862431	46	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1972651578	3	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1255346979	1	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1750435905	112	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1457387078	12	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1154592103	42	207LP2900X	Allopathic & Osteopathic Physicians	Anesthesiology	Pain Medicine	1013008	Group Practice, General Medical
1881889079	15	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1790708154	3	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1760413868	221	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1609982693	21	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1205880846	8,517	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1174521926	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1063608404	111	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1013004944	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1053421610	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1780801506	6	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1659304152	66	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1386790376	529	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1548273733	6	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1134349954	71	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1356549695	12	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1407917107	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1649237082	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1932184090	10	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1578537767	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1821273681	5	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1699942581	9	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1174730147	7	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1659304152	66	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1891816286	440	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1437148996	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1285792788	2	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1932274610	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1649210410	358	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1053579862	206	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1700184884	158	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1043249865	15	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1578875530	5	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1679874879	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1053373233	17	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1407078751	33	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1023005758	541	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1831117746	3	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1083709844	453	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1780663419	347	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1134148992	3	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1013220722	15	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1528491321	34	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1609101369	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1831438662	28	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1659304152	66	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1629044029	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1790757912	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1447669932	1	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1245659432	3	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1730293432	6	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1982849691	4	207N00000X	Allopathic & Osteopathic Physicians	Dermatology		1013008	Group Practice, General Medical
1528097284	56	207ND0101X	Allopathic & Osteopathic Physicians	Dermatology	MOHS-Micrographic Surgery	1013008	Group Practice, General Medical
1144488628	32	207ND0101X	Allopathic & Osteopathic Physicians	Dermatology	MOHS-Micrographic Surgery	1013008	Group Practice, General Medical
1205120599	59	207ND0101X	Allopathic & Osteopathic Physicians	Dermatology	MOHS-Micrographic Surgery	1013008	Group Practice, General Medical
1114022167	192	207ND0101X	Allopathic & Osteopathic Physicians	Dermatology	MOHS-Micrographic Surgery	1013008	Group Practice, General Medical
1215990700	11	207ND0101X	Allopathic & Osteopathic Physicians	Dermatology	MOHS-Micrographic Surgery	1013008	Group Practice, General Medical
1578571980	1,575	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1821061151	1	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1336128164	27,707	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1477522910	113,711	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1083769467	64	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1578571980	1,575	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1578571980	1,575	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1932296092	46	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1760827166	15	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1346258241	1	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1023409612	4	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1013925106	26	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1679693923	12	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1083769467	64	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1811982549	1,173	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1528226081	713	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1548219827	1	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1790973436	1	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1811982549	1,173	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1366776601	112	207ND0900X	Allopathic & Osteopathic Physicians	Dermatology	Dermatopathology	1013008	Group Practice, General Medical
1336211705	1	207NI0002X	Allopathic & Osteopathic Physicians	Dermatology	Clinical & Laboratory Dermatological Immunology	1013008	Group Practice, General Medical
1154527901	2	207NI0002X	Allopathic & Osteopathic Physicians	Dermatology	Clinical & Laboratory Dermatological Immunology	1013008	Group Practice, General Medical
1891892097	19,532	207NS0135X	Allopathic & Osteopathic Physicians	Dermatology	Procedural Dermatology	1013008	Group Practice, General Medical
1538169420	381	207NS0135X	Allopathic & Osteopathic Physicians	Dermatology	Procedural Dermatology	1013008	Group Practice, General Medical
1023199544	2	207NS0135X	Allopathic & Osteopathic Physicians	Dermatology	Procedural Dermatology	1013008	Group Practice, General Medical
1356421010	165	207NS0135X	Allopathic & Osteopathic Physicians	Dermatology	Procedural Dermatology	1013008	Group Practice, General Medical
1487707188	4	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1871538769	275	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1366685018	4	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1376872960	2	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1558436063	157	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1790723021	9	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1427251743	1	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1073720330	5	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1568487411	1	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1356307581	679	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1912966557	986	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1689663007	4,723	207P00000X	Allopathic & Osteopathic Physicians	Emergency Medicine		1013008	Group Practice, General Medical
1649587270	2	207PE0004X	Allopathic & Osteopathic Physicians	Emergency Medicine	Emergency Medical Services	1013008	Group Practice, General Medical
