NPI #	PTAN/Medicare #	Home State Medicaid #		ORGNAME	ADDRESS1	ADDRESS2	CITY	STATE	ZIP	PHONE1	PHONE2	FAX1	NPI
1043208812	4834710002	13631730		ORTHOTICS PROSTHETICS SOLUTIONS	1015 ROBERTSON ST		FT COLLINS	CO	80524	9704848388		9704198870	1043208812
1891172037	4834710009	13631730		CREATIVE TECHNOLOGY OPS	2425 SOUTH COLORADO BLVD	 SUITE 100	DENVER	CO	80222	3033461906		3039621820	1891172037
1902283146	 	13631730		CREATIVE TECHNOLOGY OPS	8300 ALCOTT ST	 SUITE 105	WESTMINSTER	CO	80031	3033461906		3039621820	1902283146
1427397493	4834710007	13631730		CREATIVE TECHNOLOGY OPS	1601 EAST 19TH AVENUE	 SUITE 5200	DENVER	CO	80218	3038316326		3038316295	1427397493
1194095307	4834710005	13631730		ORTHOTICS PROSTHETICS SOLUTIONS	7100 BROADWAY	 BLDG 2  UNIT E	DENVER	CO	80221	3033162615		3033319019	1194095307
1962518704	4834710004	13631730		ORTHOTICS PROSTHETICS SOLUTIONS	1446 HOVER RD		LONGMONT	CO 	80501	7206520100		7206520202	1962518704
1285609354	4834710001	13631730		ORTHOTICS PROSTHETICS SOLUTIONS	729A FORTINO BLVD		PUEBLO	CO	81008	7195421313		7195429140	1285609354
1285011734	 	13631730		ORTHOTICS PROSTHETICS SOLUTIONS	7336 SOUTH YOSEMITE STREET	 SUITE 210	CENTENNIAL	CO	80112	3037700100		3037701178	1285011734
1083687131	4834710003	13631730		ORTHOTIC PROSTHETICS SOLUTIONS	333 S ALLISON PARKWAY	 SUITE 200	LAKEWOOD	CO	80026	3037160796		3037160790	1083687131
1710233143	4834710006	13631730		ORTHOTIC PROSTHETICS SOLUTIONS	1012 WEST 36TH ST		SCOTTSBLUFF	NE	69361	7206520100		7206520202	1710233143
1730140823	1179580001			BEACON PROSTHETICS & ORTHOTICS	3224 LAKE WOODARD DR SUITE 100		RALEIGH	NC	27604	9192316890		9192313490	1730140823
1770778193	1179580004			BEACON PROSTHETICS & ORTHOTICS	2680 HENDERSON DRIVE	 SUITE 3/4	JACKSONVILLE	NC	28546	9102191455		9102191456	1770778193
1609960962	1179580002			BEACON PROSTHETICS & ORTHOTICS	2704 WOOTEN BLVD SW		WILSON 	NC	27893	2522915858		2522915542	1609960962
1265420616	0258570001			ROCKY MOUNTAIN ARTIFICIAL LIMB & BRACE, INC	2230 E 25TH ST		IDAHO FALLS	ID	83404	2085243230		2085243231	1265420616
1619043783	0258570002			ROCKY MOUNTAIN ARTIFICIAL LIMB & BRACE, INC	285 JEFFERSON AVENUE		POCATELLO	ID	83201	2082326611		2082326612	1619043783
1679630032	0258570003			ROCKY MOUNTAIN ARTIFICIAL LIMB & BRACE, INC	1515 N 400 E	 SUITE 100	NORTH LOGAN	UT	84341	4357535100		4357535105	1679630032
1619932001	0159380001	000050003		ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.	1223 EAST SOUTH BLVD		MONTGOMERY	AL	36116	3342840250		3342802853	1619932001
1992132864	0159380004	157938		ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.	2191 EAST MAIN ST	 SUITE 1	DOTHAN	AL	36301	3346995462		3346995623	1992132864
1649399502	0159380002	148966		ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.	1703 WESTEND COURT	 SUITE E	OPELIKA	AL	36801	3347373000		3347373014	1649399502
1417229196	0159380003	162774		ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.	720 ALABAMA AVE		SELMA	AL	36701	3348759790		3342802853	1417229196
