SL_NAME	CODE_GROUP_NAME	CODE_GROUP_SET
Cardiac_Surgery	Cardiac_Surgery_px	Cardiac_Surgery__Cardiac_revascularizaton_procedure,Cardiac_Surgery__Cardiac_revascularizaton_procedure_Add_On,Cardiac_Surgery__Cardiovascular_Procedures,Cardiac_Surgery__Intracardiac_Electrophysiological_Procedures_Add_On,Cardiac_Surgery__Repair_Procedures_on_the_Aortic_Valve,Cardiac_Surgery__Repair_Procedures_on_the_Heart,Cardiac_Surgery__Repair_Procedures_on_the_Mitral_Valve,Cardiac_Surgery__Repair_Procedures_on_the_Mitral_Valve_Add_On,Cardiac_Surgery__Repair_Procedures_on_the_Pulmonary_Valve,Cardiac_Surgery__Repair_Procedures_on_the_Tricuspid_Valve,Cardiac_Surgery__Replacement_of_Aortic_Valve_Non_Transcatheter,Cardiac_Surgery__Replacement_of_Mitral_Valve_Non_Transcatheter,Cardiac_Surgery__Replacement_of_Mitral_Valve_Percutaneous_or_Endoscopic,Cardiac_Surgery__Replacement_of_Pulmonary_Valve_Non_Transcatheter,Cardiac_Surgery__Replacement_of_Tricuspid_Valve_Non_Transcatheter,Cardiac_Surgery__Replacement_of_Tricuspid_Valve_Percutaneous_or_Endoscopic,Cardiac_Surgery__Restriction_Procedures_of_the_Heart,Cardiac_Surgery__Revision_or_Removal_Procedures_of_Tissue_Substitute_on_the_Heart,Cardiac_Surgery__Surgical_Collapse_Therapy;_Thoracoplasty,Cardiac_Surgery__Surgical_Procedures_Associated_with_Mechanical_Circulatory_Support,Cardiac_Surgery__Surgical_Procedures_Associated_with_Mechanical_Circulatory_Support_Add_On,Cardiac_Surgery__Surgical_Procedures_for_Repair_of_Aberrant_Heart_Anatomy,Cardiac_Surgery__Surgical_Procedures_for_Repair_of_Aberrant_Truncus_Arteriosus_Anatomy,Cardiac_Surgery__Surgical_Procedures_for_Transposition_of_the_Great_Vessels,Cardiac_Surgery__Surgical_Procedures_Involving_Transmyocardial_Revascularization,Cardiac_Surgery__Surgical_Procedures_Involving_Transmyocardial_Revascularization_Add_On,Cardiac_Surgery__Surgical_Procedures_on_a_Cardiac_Tumor,Cardiac_Surgery__Surgical_Procedures_on_Cardiac_Wounds,Cardiac_Surgery__Surgical_Procedures_on_the_Arteries_and_Veins_Other,Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Atrium_or_Ventricle,Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Chordae_Tendinae,Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Conduction_Mechanism,Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Conduction_Mechanism_Add_On,Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Papillary_Muscle,Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Surgeries;_Superior_Cava_Vein,Cardiac_Surgery__Surgical_Procedures_on_the_Pulmonary_Trunk_Pulmonary_Arteries_or_Pulmonary_Veins,Cardiac_Surgery__Surgical_Procedures_on_the_Pulmonary_Trunk_Pulmonary_Arteries_or_Pulmonary_Veins_Add_On,Cardiac_Surgery__Surgical_Procedures_on_the_Sinus_of_Valsalva,Cardiac_Surgery__Thoracic_aortic_aneurysm_repair,Cardiac_Surgery__Ventricular_Reconstruction
Cardiology	Cardiology_px	Cardiology__Cardiac_rehabilitation,Cardiology__Cardiac_stress_test,Cardiology__Cardiography_Procedures_Emerging_Techcnology,Cardiology__Cardiology_Testing,Cardiology__Cardiovascular_Procedures_Add_On,Cardiology__Cardioversion,Cardiology__Measurement_or_Monitoring_of_Services_and_Procedures_on_the_Cardiocirculatory_System,Cardiology__Non_Invasive_Vascular_Diagnostic_Studies_Extracranial,Cardiology__Other_Procedures_on_the_Cardiovascular_System,Cardiology__Other_Vascular_Studies_Attended_by_Physician,Cardiology__Vascular_studies
Cataract	Cataract_px	Cataract__Lens_and_cataract_procedures
Catheter	Catheter_px	Catheter__Catheter_Placement_for_Coronary_Angiography,Catheter__Catheter_Placement_for_Coronary_Angiography_Add_On,Catheter__Heart_Catheterization_Catheter_Placement,Catheter__Heart_Catheterization_Catheter_Placement_Add_On
Chemotherapy	Chemotherapy_px	Chemotherapy__Chemotherapy,Chemotherapy__Chemotherapy_Add_On
Clinic_Based	Clinic_Based_px	Clinic_Based__Consultation_Encounters_Outpatient,Clinic_Based__Office_encounters,Clinic_Based__Office_encounters_Add_On
Cochlear_Implant	Cochlear_Implant_px	Cochlear_Implant__Post_Operative_Analysis_and_Programming_of_Cochlear_Implant
Colonoscopy_Procedures	Colonoscopy_Procedures_px	Colonoscopy_Procedures__Colonoscopy_Procedures
Colon_Rectal_Surgery	Colon_Rectal_Surgery_px	Colon_Rectal_Surgery__Surgical_Procedures_on_the_Rectum_and_Colon_Other;_Surgeries
COVID19_Testing	COVID19_Testing_px	COVID19_Testing__COVID19_Testing
CT_Studies	CT_Studies_px	CT_Studies__Computerized_Tomography_Angiography_CTA,CT_Studies__Computerized_Tomography_CT_Scan,CT_Studies__Other_Diagnostic_Radiology_Procedures_CT_Procedures
Delivery	Delivery_px	Delivery__Cesarean_Delivery,Delivery__Cesarean_Delivery_Add_On,Delivery__Maternity_Care_and_Delivery,Delivery__Other_Surgical_Procedures_Relating_to_Maternity_Care_and_Delivery,Delivery__Vaginal_Delivery
Dental_Oral_Surgery	Dental_Oral_Surgery_px	Dental_Oral_Surgery__Dental_Care_Procedures,Dental_Oral_Surgery__Surgical_Procedures_on_Dentoalveolar_Structures
Dialysis_procedures	Dialysis_procedures_px	Dialysis_procedures__Dialysis_procedures
Ear_Procedure	Ear_Procedure_px	Ear_Procedure__Other_Procedures_on_the_Ear,Ear_Procedure__Surgical_Procedures_on_the_Ear,Ear_Procedure__Surgical_Procedures_on_the_External_Ear,Ear_Procedure__Surgical_Procedures_on_the_Inner_Ear
Echocardiography	Echocardiography_px	Echocardiography__Echocardiography_Procedures,Echocardiography__Echocardiography_Procedures_Add_On
EKG	EKG_px	EKG__EKG_continuous,EKG__Electrocardiogram_EKG_ECG
Electrophysiology_EP	Electrophysiology_EP_px	Electrophysiology_EP__Heart_Rhythm_Testing,Electrophysiology_EP__Intracardiac_Electrophysiological_Procedures,Electrophysiology_EP__Pacemaker_and_defibrillator_procedures,Electrophysiology_EP__Pacemaker_and_defibrillator_procedures_Add_On
Endoscopy_Procedure	Endoscopy_Procedure_px	Endoscopy_Procedure__Endoscopic_Retrograde_Cholangiopancreatography_ERCP_Procedure,Endoscopy_Procedure__Endoscopic_Retrograde_Cholangiopancreatography_ERCP_Procedure_Add_On,Endoscopy_Procedure__Endoscopy_of_the_Anus,Endoscopy_Procedure__Endoscopy_Small_Intestine_and_Stomal_Therapeutic,Endoscopy_Procedure__Endoscopy_Upper_Gastrointestinal_EGD_Therapeutic
EsophagoscopyTherapeutic	EsophagoscopyTherapeutic_px	EsophagoscopyTherapeutic__EsophagoscopyTherapeutic
Esophagus_Procedure	Esophagus_Procedure_px	Esophagus_Procedure__Surgical_Procedures_of_the_Esophagus_Other,Esophagus_Procedure__Surgical_Procedures_of_the_Esophagus_Other_Add_On
Eye_Services	Eye_Services_px	Eye_Services__Ophthalmological_exam,Eye_Services__Other_Procedures_on_the_Eye_and_Ocular_Adnexa,Eye_Services__Other_Procedures_on_the_Eye_and_Ocular_Adnexa_Add_On,Eye_Services__Repair_retinal_detachment,Eye_Services__Special_Ophthalmological_Services,Eye_Services__Special_Ophthalmological_Services_Add_On
Eye_Vision_Services	Eye_Vision_Services_px	Eye_Vision_Services__Contact_Lens_Services,Eye_Vision_Services__Destruction_of_lesion_of_retina_and_choroid,Eye_Vision_Services__Destruction_of_lesion_of_retina_and_choroid_Add_On,Eye_Vision_Services__Eyeglass_fitting
Eye_Vision_Surgery	Eye_Vision_Surgery_px	Eye_Vision_Surgery__Other_Surgical_Procedures_on_the_Anterior_Segment_of_the_eye,Eye_Vision_Surgery__Surgical_Procedures_of_the_Conjunctiva_Other,Eye_Vision_Surgery__Surgical_Procedures_on_the_Cornea,Eye_Vision_Surgery__Surgical_Procedures_on_the_Cornea_Add_On,Eye_Vision_Surgery__Surgical_Procedures_on_the_Extraocular_Muscles,Eye_Vision_Surgery__Surgical_Procedures_on_the_Extraocular_Muscles_Add_On,Eye_Vision_Surgery__Surgical_Procedures_on_the_Eyeball,Eye_Vision_Surgery__Surgical_Procedures_on_the_Eyelids,Eye_Vision_Surgery__Surgical_Procedures_on_the_Lacrimal_System,Eye_Vision_Surgery__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Head_And_Neck,Eye_Vision_Surgery__Surgical_Procedures_on_the_Ocular_Adnexa_Other;_Surgeries,Eye_Vision_Surgery__Surgical_Procedures_on_the_Posterior_Segment_Emerging_Technology,Eye_Vision_Surgery__Surgical_Procedures_on_the_Posterior_Segment_Emerging_Technology_Add_On,Eye_Vision_Surgery__Surgical_Procedures_on_the_Posterior_Segment_Other
Fluoroscopy	Fluoroscopy_px	Fluoroscopy__Plain_Angiography
Foot_and_Ankle	Foot_and_Ankle_px	Foot_and_Ankle__Amputation_lower_extremity_LE,Foot_and_Ankle__Arthroscopy_Procedures_of_the_Ankle,Foot_and_Ankle__Interpelviabdominal_Amputation,Foot_and_Ankle__Repair_hallux_valgus,Foot_and_Ankle__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Femur_Thigh_Region,Foot_and_Ankle__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Lower_Extremity_Unspecified_Site,Foot_and_Ankle__Treatment_of_Fracture_and_or_Dislocation_of_the_Foot_and_Toes
General_Medicine	General_Medicine_px	General_Medicine__Photodynamic_Therapy_Add_On
General_Surgery	General_Surgery_px	General_Surgery__Appendectomy_laparoscopic,General_Surgery__Appendectomy_open,General_Surgery__Appendectomy_open_Add_On,General_Surgery__Cholecystoenterostomy_Procedure,General_Surgery__Drainage_Procedures_on_the_Intestines,General_Surgery__Enterolysis_Reduction_of_Volvulus_and_Other_Intestinal_Procedures,General_Surgery__Enterolysis_Reduction_of_Volvulus_and_Other_Intestinal_Procedures_Add_On,General_Surgery__External_Fistulization_of_Intestines,General_Surgery__Hemorrhoid_Procedures,General_Surgery__Insertion_Change_Revision_or_Removal_of_Devices_from_the_Mediastinum_and_Diaphragm,General_Surgery__Laparoscopic_cholecystectomy,General_Surgery__Laparoscopy_of_the_Abdomen_Peritoneum_and_Omentum_Surgical,General_Surgery__Laparoscopy_of_the_Abdomen_Peritoneum_and_Omentum_Surgical_Add_On,General_Surgery__Laparoscopy_of_the_Intestines,General_Surgery__Liver_Biopsy_Procedures,General_Surgery__Open_cholecystectomy,General_Surgery__Other_Procedures_on_the_Endocrine_System,General_Surgery__Other_Procedures_on_the_Hemic_and_Lymphatic_Systems,General_Surgery__Other_Procedures_on_the_Hemic_and_Lymphatic_Systems_Add_On,General_Surgery__Other_Procedures_on_the_Integumentary_System_Add_On,General_Surgery__Other_Procedures_on_the_Mediastinum_and_Diaphragm,General_Surgery__Pancreatectomy_Procedures,General_Surgery__Pilonidal_cyst_excision,General_Surgery__Procedures_on_spleen,General_Surgery__Procedures_on_spleen_Add_On,General_Surgery__Removal_procedures_on_the_lungs_and_pleura,General_Surgery__Repair_Procedures_on_the_Pancreas_or_Pancreatic_Ducts;_Endoscopic_Approach,General_Surgery__Repair_Procedures_on_the_Pancreas_or_Pancreatic_Ducts;_Open_Approach,General_Surgery__Surgical_Procedures_on_Meckels_Diverticulum_and_the_Mesentery,General_Surgery__Surgical_Procedures_on_the_Abdomen_Peritoneum_and_Omentum_Other,General_Surgery__Surgical_Procedures_on_the_Abdomen_Peritoneum_and_Omentum_Other_Add_On,General_Surgery__Surgical_Procedures_on_the_Anus_Other,General_Surgery__Surgical_Procedures_on_the_Appendix_unspecified,General_Surgery__Surgical_Procedures_on_the_Biliary_Tract_Other,General_Surgery__Surgical_Procedures_on_the_Biliary_Tract_Other_Add_On,General_Surgery__Surgical_Procedures_on_the_Diaphragm,General_Surgery__Surgical_Procedures_on_the_Female_Genital_System_Pelvic_Cavity,General_Surgery__Surgical_Procedures_on_the_Liver_Other,General_Surgery__Surgical_Procedures_on_the_Lungs_and_Pleura,General_Surgery__Surgical_Procedures_on_the_Lymph_Nodes_and_Lymphatic_Channels,General_Surgery__Surgical_Procedures_on_the_Lymph_Nodes_and_Lymphatic_Channels_Add_On,General_Surgery__Surgical_Procedures_on_the_Mediastinum,General_Surgery__Surgical_Procedures_on_the_Nails,General_Surgery__Surgical_Procedures_on_the_Pancreas_Other,General_Surgery__Surgical_Procedures_on_the_Parathyroid_Thymus_Adrenal_Glands_and_Carotid_Body,General_Surgery__Surgical_Procedures_on_the_Parathyroid_Thymus_Adrenal_Glands_and_Carotid_Body_Add_On,General_Surgery__Surgical_Procedures_on_the_Pineal_Body,General_Surgery__Surgical_Procedures_on_the_Pituitary_Gland,General_Surgery__Surgical_Procedures_on_the_Stomach_Other,General_Surgery__Surgical_Procedures_on_the_Stomach_Other_Add_On,General_Surgery__Surgical_Procedures_on_the_Trachea_and_Bronchi_Other,General_Surgery__Surgical_Procedures_on_the_Trachea_Carina_and_Bronchi,General_Surgery__Surgical_Procedures_Other,General_Surgery__Surgical_Procedures_Other_Add_On,General_Surgery__Surgical_Treatment_of_Anal_Fistula_Procedures
Gynecology	Gynecology_px	Gynecology__Hysterectomy,Gynecology__In_vitro_fertilization_IVF,Gynecology__Laparoscopy_Hysteroscopy_of_the_Corpus_Uteri,Gynecology__Myomectomy,Gynecology__Other_Procedures_on_the_Female_Genital_System,Gynecology__Other_Procedures_on_the_Female_Genital_System_Add_On,Gynecology__Surgical_Procedures_on_the_Cervix_Uteri,Gynecology__Surgical_Procedures_on_the_Corpus_Uteri_and_Cervix_Uteri,Gynecology__Surgical_Procedures_on_the_Corpus_Uteri_Other,Gynecology__Surgical_Procedures_on_the_Cul_de_sac,Gynecology__Surgical_Procedures_on_the_Endometrium_Nonobstetrical,Gynecology__Surgical_procedures_on_the_ovary,Gynecology__Surgical_Procedures_on_the_Oviduct,Gynecology__Surgical_Procedures_on_the_Oviduct_Add_On,Gynecology__Surgical_Procedures_on_the_Uterine_Supporting_Structure,Gynecology__Surgical_Procedures_on_the_Vagina_and_Cul_de_sac,Gynecology__Surgical_Procedures_on_the_Vagina_Other,Gynecology__Surgical_Procedures_on_the_Vulva_Perineum_and_Introitus,Gynecology__Surgical_Treatment_of_Ectopic_Pregnancy,Gynecology__Vaginal_repair,Gynecology__Vaginal_repair_Add_On
Hand_Wrist_and_Elbow	Hand_Wrist_and_Elbow_px	Hand_Wrist_and_Elbow__Arthroscopy_Procedures_of_the_Elbow,Hand_Wrist_and_Elbow__Carpal_tunnel_decompression,Hand_Wrist_and_Elbow__Fixation_Device_Procedures_on_the_Musculoskeletal_System,Hand_Wrist_and_Elbow__General_Grafts_or_Implants_Procedures_of_the_Musculoskeletal_System,Hand_Wrist_and_Elbow__General_Grafts_or_Implants_Procedures_of_the_Musculoskeletal_System_Add_On,Hand_Wrist_and_Elbow__Surgical_Arthroscopy_of_the_Wrist,Hand_Wrist_and_Elbow__Surgical_Procedures_on_the_Forearm_and_Wrist_non_fracture_related,Hand_Wrist_and_Elbow__Surgical_Procedures_on_the_Hand_and_Fingers_non_fracture_related,Hand_Wrist_and_Elbow__Surgical_Procedures_on_the_Hand_and_Fingers_non_fracture_related_Add_On,Hand_Wrist_and_Elbow__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Upper_Extremity_Unspecified_Site,Hand_Wrist_and_Elbow__Surgical_Procedures_on_the_the_Humerus_and_Elbow_non_fracture_related,Hand_Wrist_and_Elbow__Surgical_Replantation_of_the_Musculoskeletal_System,Hand_Wrist_and_Elbow__Treatment_for_fracture_or_dislocation_of_radius_and_ulna,Hand_Wrist_and_Elbow__Treatment_of_Fracture_and_or_Dislocation_of_the_Hand_and_Fingers,Hand_Wrist_and_Elbow__Treatment_of_Fracture_and_or_Dislocation_of_the_Humerus_and_Elbow
Heart_Transplant	Heart_Transplant_px	Heart_Transplant__Heart_lung_Transplant,Heart_Transplant__Heart_lung_Transplant_Add_On,Heart_Transplant__Heart_Transplant
Hernia_Procedure	Hernia_Procedure_px	Hernia_Procedure__Hernia_repair_laparoscopic,Hernia_Procedure__Hernia_repair_open,Hernia_Procedure__Hernia_repair_open_Add_On
Hip_Replacement	Hip_Replacement_px	Hip_Replacement__Hip_replacement
Hospital_Based	Hospital_Based_px	Hospital_Based__Consultation_Encounters_Inpatient,Hospital_Based__Critical_Care_visit,Hospital_Based__Critical_Care_visit_Add_On,Hospital_Based__Emergency_department_services,Hospital_Based__Hospital_Observation_Services,Hospital_Based__Inpatient_visit
Imaging	Imaging_px	Imaging__Cerebrospinal_Fluid_Imaging,Imaging__Cerebrovascular_Arterial_Studies,Imaging__Cholangiography_and_or_Pancreatography_Standard_Imaging,Imaging__Cholangiography_and_or_Pancreatography_Standard_Imaging_Add_On,Imaging__Imaging_Guidance_Techniques,Imaging__Imaging_Guidance_Techniques_Add_On,Imaging__Other_Radiology_Procedures,Imaging__Plain_Angiography_Add_On,Imaging__Radiologic_Examination_Joint_or_Osseous_Survey,Imaging__Radiology_Procedures,Imaging__Radiology_Procedures_Add_On,Imaging__Venography_Procedure,Imaging__Venous_Thrombosis_Imaging,Imaging__Visceral_and_Penile_Vascular_Studies
Implantable_Interstitial_Glucose_Monitoring_Sensor_Devices	Implantable_Interstitial_Glucose_Monitoring_Sensor_Devices_px	Implantable_Interstitial_Glucose_Monitoring_Sensor_Devices__Implantable_Interstitial_Glucose_Monitoring_Sensor_Devices
Interventional_Cardiology	Interventional_Cardiology_px	Interventional_Cardiology__Percutaneous_Balloon_Valvuloplasty,Interventional_Cardiology__Percutaneous_Transluminal_Coronary_Atherectomy_Balloon_Angioplasty_or_Thrombectomy,Interventional_Cardiology__Percutaneous_Transluminal_Coronary_Atherectomy_Balloon_Angioplasty_or_Thrombectomy_Add_On,Interventional_Cardiology__Repair_of_Septal_Defect,Interventional_Cardiology__Septal_defect_repair,Interventional_Cardiology__Thrombolysis_Coronary;_by_Intracoronary_and_Intravenous_Infusion
Kidney_transplant	Kidney_transplant_px	Kidney_transplant__Kidney_transplant
Knee_Procedure	Knee_Procedure_px	Knee_Procedure__Amputation_of_the_Femur_Thigh_Region_and_Knee_Joint,Knee_Procedure__Arthroscopy_of_the_knee,Knee_Procedure__Arthroscopy_of_the_knee_Add_On,Knee_Procedure__Procedures_of_the_Musculoskeletal_System_of_the_Femur_Thigh_Region_and_Knee_Joint_Other,Knee_Procedure__Procedures_to_Repair_and_or_Reconstruct_the_Knee_or_Patella,Knee_Procedure__Treatment_of_Fracture_and_or_Dislocation_of_the_Femur_Thigh_Region_and_Knee_Joint
Knee_Replacement	Knee_Replacement_px	Knee_Replacement__Knee_replacement,Knee_Replacement__Knee_replacement_Add_On
Laboratory_Testing	Laboratory_Testing_px	Laboratory_Testing__Molecular_Pathology_Procedures,Laboratory_Testing__Molecular_Pathology_Procedures_Add_On,Laboratory_Testing__Multianalyte_Assays,Laboratory_Testing__Pathology_and_Laboratory_Tests,Laboratory_Testing__Pathology_and_Laboratory_Tests_Add_On,Laboratory_Testing__Surgical_pathology,Laboratory_Testing__Cytogenetic_studies,Laboratory_Testing__Cytology,Laboratory_Testing__Lipid_panel,Laboratory_Testing__Microbiology_procedures_Add_On,Laboratory_Testing__Multianalyte_Assays_Add_On,Laboratory_Testing__Organ_or_disease_oriented_panels,Laboratory_Testing__CBC,Laboratory_Testing__Cytology_Add_On,Laboratory_Testing__Drug_Testing_Add_On,Laboratory_Testing__Glycosylated_hemoglobin_A1C_test,Laboratory_Testing__Prosthodontics_removable,Laboratory_Testing__Therapeutic_drug_assays,Laboratory_Testing__Cytogenetic_studies_Add_On,Laboratory_Testing__Drug_Testing,Laboratory_Testing__Microbiology_procedures,Laboratory_Testing__Prostate_specific_antigen_PSA_test,Laboratory_Testing__Reproductive_Medicine_Lab_Procedures,Laboratory_Testing__Surgical_pathology_Add_On,Laboratory_Testing__Urinalysis
Liver_transplant	Liver_transplant_px	Liver_transplant__Liver_transplant
Lung_transplant	Lung_transplant_px	Lung_transplant__Lung_transplant,Lung_transplant__Lung_transplant_Add_On
Male_Genital_Procedure	Male_Genital_Procedure_px	Male_Genital_Procedure__Other_Procedures_on_the_Male_Genital_System,Male_Genital_Procedure__Other_Procedures_on_the_Male_Genital_System_Add_On,Male_Genital_Procedure__Surgical_Procedures_on_the_Male_Genital_System_Perineum
MOHS_Procedures	MOHS_Procedures_px	MOHS_Procedures__Surgical_Destruction_of_the_Integumentary_System,MOHS_Procedures__Surgical_Destruction_of_the_Integumentary_System_Add_On
MRI	MRI_px	MRI__Magnetic_Resonance_Imaging_MRI,MRI__Magnetic_Resonance_Imaging_MRI_Add_On
MR_Studies	MR_Studies_px	MR_Studies__Magnetic_Resonance_Angiography_MRA
Neonatal_and_Newborn	Neonatal_and_Newborn_px	Neonatal_and_Newborn__Neonatal_and_Pediatric_Critical_Care_and_Intensive_Services,Neonatal_and_Newborn__Newborn_care
Neurology	Neurology_px	Neurology__Central_Motor_Evoked_Potential_Study,Neurology__Continuous_Intraoperative_Neurophysiology_Monitoring_Add_On,Neurology__Developmental_Testing_and_Screening,Neurology__Developmental_Testing_and_Screening_Add_On,Neurology__Evaluation_of_Implanted_Neurostimulator,Neurology__Evaluation_of_Implanted_Neurostimulator_Add_On,Neurology__Needle_Electromyography,Neurology__Needle_Electromyography_Add_On,Neurology__Nerve_Conduction_Study,Neurology__Neurology_and_Neuromuscular_Procedures,Neurology__Neurology_and_Neuromuscular_Procedures_Add_On,Neurology__Neuropsychological_Testing,Neurology__Psychological_and_neuropsychological_tests,Neurology__Psychological_and_neuropsychological_tests_Add_On,Neurology__Psychological_Testing,Neurology__Seizure_Activity_Event_Monitor_Data_Recording_and_Analysis,Neurology__Short_Latency_Somatosensory_Evoked_Potential_Study,Neurology__Testing_of_Autonomic_Nervous_System_Function,Neurology__Vestibular_function_tests,Neurology__Vestibular_function_tests_Add_On
Neurosurgery	Neurosurgery_px	Neurosurgery__Measurement_or_Monitoring_of_Services_and_Procedures_on_the_Central_Nervous_System,Neurosurgery__Measurement_or_Monitoring_of_Services_and_Procedures_on_the_Central_Nervous_System_Add_On,Neurosurgery__Measurement_or_Monitoring_of_Services_and_Procedures_on_the_Peripheral_Nervous_System,Neurosurgery__Other_Procedures_on_the_Nervous_System,Neurosurgery__Other_Procedures_on_the_Nervous_System_Add_On,Neurosurgery__Surgical_Procedures_of_the_Cranial_Nerve,Neurosurgery__Surgical_Procedures_on_the_Base_of_the_Skull,Neurosurgery__Surgical_Procedures_on_the_Base_of_the_Skull_Add_On,Neurosurgery__Surgical_Procedures_on_the_Extracranial_Nerves_Peripheral_Nerves_and_Autonomic_Nervous_System_Other,Neurosurgery__Surgical_Procedures_on_the_Extracranial_Nerves_Peripheral_Nerves_and_Autonomic_Nervous_System_Other_Add_On,Neurosurgery__Surgical_Procedures_on_the_Skull_Meninges_and_Brain_Other,Neurosurgery__Surgical_Procedures_on_the_Skull_Meninges_and_Brain_Other_Add_On,Neurosurgery__Surgical_procedures_on_the_spinal_cord,Neurosurgery__Surgical_procedures_on_the_spinal_cord_Add_On
Nuclear_Medicine	Nuclear_Medicine_px	Nuclear_Medicine__Cardiac_Blood_Pool_Imaging,Nuclear_Medicine__Cardiac_Blood_Pool_Imaging_Add_On,Nuclear_Medicine__Diagnostic_Nuclear_Medicine_Procedures,Nuclear_Medicine__Diagnostic_Nuclear_Medicine_Procedures_Add_On,Nuclear_Medicine__Myelogram,Nuclear_Medicine__Myocardial_Perfusion_Imaging,Nuclear_Medicine__Myocardial_Perfusion_Imaging_Add_On,Nuclear_Medicine__Other_Diagnostic_Nuclear_Medicine_Procedures_on_the_Cardiovascular_System
Obstetrics	Obstetrics_px	Obstetrics__Induced_abortion,Obstetrics__Surgical_Antepartum_Procedures
Oral_Maxillofacial	Oral_Maxillofacial_px	Oral_Maxillofacial__Procedures_on_the_Face_or_Scalp,Oral_Maxillofacial__Treatment_facial_fracture_or_dislocation
Orthodontics	Orthodontics_px	Orthodontics__Orthodontics
Other	Other_px	Other__Acupuncture,Other__Health_and_Behavior_Assessments_Add_On,Other__Minor_Procedures,Other__Photodynamic_Therapy,Other__Acupuncture_Add_On,Other__Chiropractic_manipulative_treatment_CMT,Other__Nutrition_therapy,Other__Other_Evaluation_and_Management_Procedures,Other__Surgical_Procedures_on_the_Pharynx_Adenoids_and_Tonsils_Other,Other__Audiology_Evaluation,Other__Immunization_Administration_Fee,Other__Measurement_and_Monitoring_Services_and_Procedures,Other__Osteopathic_Manipulative_Treatment_Procedures,Other__Medical_Education_Services,Other__Non_Oncology_IV_Infusions,Other__Non_Oncology_IV_Infusions_Add_On,Other__Other_Evaluation_and_Management_Procedures_Add_On
