SL_NAME	CODE_GROUP	SETTINGS	AGE_BANDS
Bowel_resection	Bowel_resection__Bowel_resection_open	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bowel_resection	Bowel_resection__Bowel_resection_open_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Imaging	Breast_Imaging__Breast_Imaging	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Imaging	Breast_Imaging__Breast_Imaging_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Breast_reconstruction	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Mastectomy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Other_Procedures_on_the_Integumentary_System	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Other_Radiation_Therapy_Procedures_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Repair_Closure_Procedures_of_the_Integumentary_System_Flaps_and_Grafts	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Repair_Closure_Procedures_of_the_Integumentary_System_Flaps_and_Grafts_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Surgical_Procedures_on_the_Breast_Other	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Surgical_Procedures_on_the_Breast_Other_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Breast_Surgery	Breast_Surgery__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Abdomen_Back_and_Flank	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Cardiac_revascularizaton_procedure	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Cardiac_revascularizaton_procedure_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Cardiovascular_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Intracardiac_Electrophysiological_Procedures_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Repair_Procedures_on_the_Aortic_Valve	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Repair_Procedures_on_the_Heart	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Repair_Procedures_on_the_Mitral_Valve	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Repair_Procedures_on_the_Mitral_Valve_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Repair_Procedures_on_the_Pulmonary_Valve	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Repair_Procedures_on_the_Tricuspid_Valve	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Replacement_of_Aortic_Valve_Non_Transcatheter	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Replacement_of_Mitral_Valve_Non_Transcatheter	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Replacement_of_Mitral_Valve_Percutaneous_or_Endoscopic	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Replacement_of_Pulmonary_Valve_Non_Transcatheter	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Replacement_of_Tricuspid_Valve_Non_Transcatheter	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Replacement_of_Tricuspid_Valve_Percutaneous_or_Endoscopic	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Restriction_Procedures_of_the_Heart	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Revision_or_Removal_Procedures_of_Tissue_Substitute_on_the_Heart	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Collapse_Therapy;_Thoracoplasty	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_Associated_with_Mechanical_Circulatory_Support	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_Associated_with_Mechanical_Circulatory_Support_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_for_Repair_of_Aberrant_Heart_Anatomy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_for_Repair_of_Aberrant_Truncus_Arteriosus_Anatomy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_for_Transposition_of_the_Great_Vessels	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_Involving_Transmyocardial_Revascularization	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_Involving_Transmyocardial_Revascularization_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_a_Cardiac_Tumor	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_Cardiac_Wounds	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Arteries_and_Veins_Other	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Atrium_or_Ventricle	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Chordae_Tendinae	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Conduction_Mechanism	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Conduction_Mechanism_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Structure_Papillary_Muscle	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Heart_Surgeries;_Superior_Cava_Vein	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Pulmonary_Trunk_Pulmonary_Arteries_or_Pulmonary_Veins	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Pulmonary_Trunk_Pulmonary_Arteries_or_Pulmonary_Veins_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Surgical_Procedures_on_the_Sinus_of_Valsalva	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Thoracic_aortic_aneurysm_repair	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiac_Surgery	Cardiac_Surgery__Ventricular_Reconstruction	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Cardiac_rehabilitation	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Cardiac_stress_test	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Cardiography_Procedures_Emerging_Techcnology	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Cardiology_Testing	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Cardiovascular_Procedures_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Cardioversion	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Measurement_or_Monitoring_of_Services_and_Procedures_on_the_Cardiocirculatory_System	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Non_Invasive_Vascular_Diagnostic_Studies_Extracranial	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Other_Procedures_on_the_Cardiovascular_System	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Other_Vascular_Studies_Attended_by_Physician	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cardiology	Cardiology__Vascular_studies	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cataract	Cataract__Lens_and_cataract_procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Catheter	Catheter__Catheter_Placement_for_Coronary_Angiography	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Catheter	Catheter__Catheter_Placement_for_Coronary_Angiography_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Catheter	Catheter__Heart_Catheterization_Catheter_Placement	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Catheter	Catheter__Heart_Catheterization_Catheter_Placement_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Chemotherapy	Chemotherapy__Chemotherapy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Chemotherapy	Chemotherapy__Chemotherapy_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Clinic_Based1	Clinic_Based__Consultation_Encounters_Outpatient	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Clinic_Based2	Clinic_Based__Office_encounters	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Clinic_Based3	Clinic_Based__Office_encounters_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Cochlear_Implant	Cochlear_Implant__Post_Operative_Analysis_and_Programming_of_Cochlear_Implant	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Colon_Rectal_Surgery	Colon_Rectal_Surgery__Surgical_Procedures_on_the_Rectum_and_Colon_Other;_Surgeries	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Colonoscopy_Procedures	Colonoscopy_Procedures__Colonoscopy_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
COVID19_Testing	COVID19_Testing__COVID19_Testing	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
CT_Studies	CT_Studies__Computerized_Tomography_Angiography_CTA	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
CT_Studies	CT_Studies__Computerized_Tomography_CT_Scan	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
CT_Studies	CT_Studies__Other_Diagnostic_Radiology_Procedures_CT_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Delivery	Delivery__Cesarean_Delivery	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Delivery	Delivery__Cesarean_Delivery_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Delivery	Delivery__Maternity_Care_and_Delivery	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Delivery	Delivery__Other_Surgical_Procedures_Relating_to_Maternity_Care_and_Delivery	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Delivery	Delivery__Vaginal_Delivery	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Dental_Oral_Surgery	Dental_Oral_Surgery__Dental_Care_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Dental_Oral_Surgery	Dental_Oral_Surgery__Surgical_Procedures_on_Dentoalveolar_Structures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Dialysis_procedures	Dialysis_procedures__Dialysis_procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Ear_Procedure	Ear_Procedure__Other_Procedures_on_the_Ear	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Ear_Procedure	Ear_Procedure__Surgical_Procedures_on_the_Ear	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Ear_Procedure	Ear_Procedure__Surgical_Procedures_on_the_External_Ear	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Ear_Procedure	Ear_Procedure__Surgical_Procedures_on_the_Inner_Ear	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Echocardiography	Echocardiography__Echocardiography_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Echocardiography	Echocardiography__Echocardiography_Procedures_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
EKG	EKG__EKG_continuous	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
EKG	EKG__Electrocardiogram_EKG_ECG	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Electrophysiology_EP	Electrophysiology_EP__Heart_Rhythm_Testing	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Electrophysiology_EP	Electrophysiology_EP__Intracardiac_Electrophysiological_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Electrophysiology_EP	Electrophysiology_EP__Pacemaker_and_defibrillator_procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Electrophysiology_EP	Electrophysiology_EP__Pacemaker_and_defibrillator_procedures_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Endoscopy_Procedure	Endoscopy_Procedure__Endoscopic_Retrograde_Cholangiopancreatography_ERCP_Procedure	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Endoscopy_Procedure	Endoscopy_Procedure__Endoscopic_Retrograde_Cholangiopancreatography_ERCP_Procedure_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Endoscopy_Procedure	Endoscopy_Procedure__Endoscopy_of_the_Anus	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Endoscopy_Procedure	Endoscopy_Procedure__Endoscopy_Small_Intestine_and_Stomal_Therapeutic	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Endoscopy_Procedure	Endoscopy_Procedure__Endoscopy_Upper_Gastrointestinal_EGD_Therapeutic	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
EsophagoscopyTherapeutic	EsophagoscopyTherapeutic__EsophagoscopyTherapeutic	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Esophagus_Procedure	Esophagus_Procedure__Surgical_Procedures_of_the_Esophagus_Other	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Esophagus_Procedure	Esophagus_Procedure__Surgical_Procedures_of_the_Esophagus_Other_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Services	Eye_Services__Ophthalmological_exam	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Services	Eye_Services__Other_Procedures_on_the_Eye_and_Ocular_Adnexa	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Services	Eye_Services__Other_Procedures_on_the_Eye_and_Ocular_Adnexa_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Services	Eye_Services__Repair_retinal_detachment	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Services	Eye_Services__Special_Ophthalmological_Services	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Services	Eye_Services__Special_Ophthalmological_Services_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Services	Eye_Vision_Services__Contact_Lens_Services	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Services	Eye_Vision_Services__Destruction_of_lesion_of_retina_and_choroid	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Services	Eye_Vision_Services__Destruction_of_lesion_of_retina_and_choroid_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Services	Eye_Vision_Services__Eyeglass_fitting	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Other_Surgical_Procedures_on_the_Anterior_Segment_of_the_eye	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_of_the_Conjunctiva_Other	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Cornea	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Cornea_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Extraocular_Muscles	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Extraocular_Muscles_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Eyeball	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Eyelids	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Lacrimal_System	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Head_And_Neck	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Ocular_Adnexa_Other;_Surgeries	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Posterior_Segment_Emerging_Technology	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Posterior_Segment_Emerging_Technology_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Eye_Vision_Surgery	Eye_Vision_Surgery__Surgical_Procedures_on_the_Posterior_Segment_Other	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Fluoroscopy	Fluoroscopy__Plain_Angiography	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Foot_and_Ankle	Foot_and_Ankle__Amputation_lower_extremity_LE	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Foot_and_Ankle	Foot_and_Ankle__Arthroscopy_Procedures_of_the_Ankle	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Foot_and_Ankle	Foot_and_Ankle__Interpelviabdominal_Amputation	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Foot_and_Ankle	Foot_and_Ankle__Repair_hallux_valgus	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Foot_and_Ankle	Foot_and_Ankle__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Femur_Thigh_Region	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Foot_and_Ankle	Foot_and_Ankle__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Lower_Extremity_Unspecified_Site	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Foot_and_Ankle	Foot_and_Ankle__Treatment_of_Fracture_and_or_Dislocation_of_the_Foot_and_Toes	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Medicine	General_Medicine__Photodynamic_Therapy_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Appendectomy_laparoscopic	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Appendectomy_open	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Appendectomy_open_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Cholecystoenterostomy_Procedure	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Drainage_Procedures_on_the_Intestines	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Enterolysis_Reduction_of_Volvulus_and_Other_Intestinal_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Enterolysis_Reduction_of_Volvulus_and_Other_Intestinal_Procedures_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__External_Fistulization_of_Intestines	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Hemorrhoid_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Insertion_Change_Revision_or_Removal_of_Devices_from_the_Mediastinum_and_Diaphragm	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Laparoscopic_cholecystectomy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Laparoscopy_of_the_Abdomen_Peritoneum_and_Omentum_Surgical	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Laparoscopy_of_the_Abdomen_Peritoneum_and_Omentum_Surgical_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Laparoscopy_of_the_Intestines	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Liver_Biopsy_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Open_cholecystectomy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Other_Procedures_on_the_Endocrine_System	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Other_Procedures_on_the_Hemic_and_Lymphatic_Systems	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Other_Procedures_on_the_Hemic_and_Lymphatic_Systems_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Other_Procedures_on_the_Integumentary_System_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Other_Procedures_on_the_Mediastinum_and_Diaphragm	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Pancreatectomy_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Pilonidal_cyst_excision	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Procedures_on_spleen	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Procedures_on_spleen_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Removal_procedures_on_the_lungs_and_pleura	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Repair_Procedures_on_the_Pancreas_or_Pancreatic_Ducts;_Endoscopic_Approach	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Repair_Procedures_on_the_Pancreas_or_Pancreatic_Ducts;_Open_Approach	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
General_Surgery	General_Surgery__Surgical_Procedures_on_Meckels_Diverticulum_and_the_Mesentery	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
